district,year_month,demand_enrolments,demand_updates,demand_total
Akola,2025-02,220,77,297
Akola,2025-03,101,35,136
Akola,2025-04,73,26,99
Akola,2025-05,59,21,80
Akola,2025-06,36,13,49
Akola,2025-07,56,20,76
Akola,2025-08,156,55,211
Akola,2025-09,128,45,173
Akola,2025-10,129,45,174
Akola,2025-11,127,44,171
Akola,2025-12,126,44,170
Alappuzha,2025-01,50,18,68
Alappuzha,2025-02,168,59,227
Alappuzha,2025-03,68,24,92
Alappuzha,2025-04,5,2,7
Alappuzha,2025-05,85,30,115
Alappuzha,2025-06,36,13,49
Alappuzha,2025-07,31,11,42
Alappuzha,2025-08,105,37,142
Alappuzha,2025-09,118,41,159
Alappuzha,2025-10,124,43,167
Alappuzha,2025-11,119,42,161
Alappuzha,2025-12,82,29,111
Aligarh,2025-01,13884,4859,18743
Aligarh,2025-02,542,190,732
Aligarh,2025-03,284,99,383
Aligarh,2025-04,228,80,308
Aligarh,2025-05,299,105,404
Aligarh,2025-06,406,142,548
Aligarh,2025-07,172,60,232
Aligarh,2025-08,312,109,421
Aligarh,2025-09,517,181,698
Aligarh,2025-10,474,166,640
Aligarh,2025-11,261,91,352
Aligarh,2025-12,409,143,552
Alipurduar,2025-01,2608,913,3521
Alipurduar,2025-02,40,14,54
Alipurduar,2025-03,28,10,38
Alipurduar,2025-04,14,5,19
Alipurduar,2025-05,23,8,31
Alipurduar,2025-06,30,10,40
Alipurduar,2025-07,14,5,19
Alipurduar,2025-08,34,12,46
Alipurduar,2025-09,51,18,69
Alipurduar,2025-10,46,16,62
Alipurduar,2025-11,27,9,36
Alipurduar,2025-12,41,14,55
Alirajpur,2025-01,2973,1041,4014
Alirajpur,2025-02,247,86,333
Alirajpur,2025-03,85,30,115
Alirajpur,2025-04,76,27,103
Alirajpur,2025-05,72,25,97
Alirajpur,2025-06,70,24,94
Alirajpur,2025-07,42,15,57
Alirajpur,2025-08,111,39,150
Alirajpur,2025-09,122,43,165
Alirajpur,2025-10,122,43,165
Alirajpur,2025-11,103,36,139
Alirajpur,2025-12,110,38,148
Allahabad,2025-01,328,115,443
Allahabad,2025-02,608,213,821
Allahabad,2025-03,401,140,541
Allahabad,2025-04,250,88,338
Allahabad,2025-05,427,149,576
Allahabad,2025-06,356,125,481
Allahabad,2025-07,215,75,290
Allahabad,2025-08,373,131,504
Allahabad,2025-09,477,167,644
Allahabad,2025-10,565,198,763
Allahabad,2025-11,344,120,464
Allahabad,2025-12,436,153,589
Alluri Sitharama Raju,2025-01,15,5,20
Alluri Sitharama Raju,2025-02,32,11,43
Alluri Sitharama Raju,2025-03,30,10,40
Alluri Sitharama Raju,2025-04,11,4,15
Alluri Sitharama Raju,2025-05,47,16,63
Alluri Sitharama Raju,2025-06,28,10,38
Alluri Sitharama Raju,2025-07,29,10,39
Alluri Sitharama Raju,2025-08,32,11,43
Alluri Sitharama Raju,2025-09,26,9,35
Alluri Sitharama Raju,2025-10,37,13,50
Alluri Sitharama Raju,2025-11,34,12,46
Alluri Sitharama Raju,2025-12,37,13,50
Almora,2025-01,13,5,18
Almora,2025-02,40,14,54
Almora,2025-03,34,12,46
Almora,2025-04,20,7,27
Almora,2025-05,22,8,30
Almora,2025-06,41,14,55
Almora,2025-07,17,6,23
Almora,2025-08,53,19,72
Almora,2025-09,54,19,73
Almora,2025-10,57,20,77
Almora,2025-11,33,12,45
Almora,2025-12,25,9,34
Alwar,2025-01,5885,2060,7945
Alwar,2025-02,613,215,828
Alwar,2025-03,490,172,662
Alwar,2025-04,416,146,562
Alwar,2025-05,507,177,684
Alwar,2025-06,567,198,765
Alwar,2025-07,240,84,324
Alwar,2025-08,669,234,903
Alwar,2025-09,576,202,778
Alwar,2025-10,703,246,949
Alwar,2025-11,458,160,618
Alwar,2025-12,533,187,720
Ambala,2025-01,313,110,423
Ambala,2025-02,91,32,123
Ambala,2025-03,35,12,47
Ambala,2025-04,13,5,18
Ambala,2025-05,74,26,100
Ambala,2025-06,52,18,70
Ambala,2025-07,35,12,47
Ambala,2025-08,95,33,128
Ambala,2025-09,98,34,132
Ambala,2025-10,93,33,126
Ambala,2025-11,80,28,108
Ambala,2025-12,76,27,103
Ambedkar Nagar,2025-01,553,194,747
Ambedkar Nagar,2025-02,328,115,443
Ambedkar Nagar,2025-03,259,91,350
Ambedkar Nagar,2025-04,146,51,197
Ambedkar Nagar,2025-05,187,65,252
Ambedkar Nagar,2025-06,191,67,258
Ambedkar Nagar,2025-07,90,31,121
Ambedkar Nagar,2025-08,237,83,320
Ambedkar Nagar,2025-09,264,92,356
Ambedkar Nagar,2025-10,290,102,392
Ambedkar Nagar,2025-11,219,77,296
Ambedkar Nagar,2025-12,220,77,297
Amethi,2025-01,181,63,244
Amethi,2025-02,305,107,412
Amethi,2025-03,235,82,317
Amethi,2025-04,155,54,209
Amethi,2025-05,132,46,178
Amethi,2025-06,178,62,240
Amethi,2025-07,88,31,119
Amethi,2025-08,225,79,304
Amethi,2025-09,270,94,364
Amethi,2025-10,291,102,393
Amethi,2025-11,178,62,240
Amethi,2025-12,264,92,356
Amravati,2025-01,1133,397,1530
Amravati,2025-02,267,93,360
Amravati,2025-03,104,36,140
Amravati,2025-04,92,32,124
Amravati,2025-05,83,29,112
Amravati,2025-06,62,22,84
Amravati,2025-07,54,19,73
Amravati,2025-08,198,69,267
Amravati,2025-09,214,75,289
Amravati,2025-10,213,75,288
Amravati,2025-11,182,64,246
Amravati,2025-12,163,57,220
Amreli,2025-01,1071,375,1446
Amreli,2025-02,116,41,157
Amreli,2025-03,90,31,121
Amreli,2025-04,54,19,73
Amreli,2025-05,22,8,30
Amreli,2025-06,66,23,89
Amreli,2025-07,35,12,47
Amreli,2025-08,97,34,131
Amreli,2025-09,111,39,150
Amreli,2025-10,109,38,147
Amreli,2025-11,100,35,135
Amreli,2025-12,105,37,142
Amritsar,2025-01,4168,1459,5627
Amritsar,2025-02,335,117,452
Amritsar,2025-03,84,29,113
Amritsar,2025-04,68,24,92
Amritsar,2025-05,205,72,277
Amritsar,2025-06,172,60,232
Amritsar,2025-07,45,16,61
Amritsar,2025-08,196,69,265
Amritsar,2025-09,238,83,321
Amritsar,2025-10,209,73,282
Amritsar,2025-11,159,56,215
Amritsar,2025-12,144,50,194
Amroha,2025-01,1251,438,1689
Amroha,2025-02,289,101,390
Amroha,2025-03,196,69,265
Amroha,2025-04,126,44,170
Amroha,2025-05,158,55,213
Amroha,2025-06,158,55,213
Amroha,2025-07,106,37,143
Amroha,2025-08,224,78,302
Amroha,2025-09,181,63,244
Amroha,2025-10,317,111,428
Amroha,2025-11,175,61,236
Amroha,2025-12,160,56,216
Anakapalli,2025-01,13,5,18
Anakapalli,2025-02,16,6,22
Anakapalli,2025-03,18,6,24
Anakapalli,2025-04,8,3,11
Anakapalli,2025-05,6,2,8
Anakapalli,2025-06,14,5,19
Anakapalli,2025-07,5,2,7
Anakapalli,2025-08,12,4,16
Anakapalli,2025-09,16,6,22
Anakapalli,2025-10,14,5,19
Anakapalli,2025-11,13,5,18
Anakapalli,2025-12,8,3,11
Anand,2025-01,1838,643,2481
Anand,2025-02,178,62,240
Anand,2025-03,130,46,176
Anand,2025-04,49,17,66
Anand,2025-05,46,16,62
Anand,2025-06,71,25,96
Anand,2025-07,32,11,43
Anand,2025-08,165,58,223
Anand,2025-09,189,66,255
Anand,2025-10,161,56,217
Anand,2025-11,157,55,212
Anand,2025-12,171,60,231
Anantapur,2025-01,104,36,140
Anantapur,2025-02,192,67,259
Anantapur,2025-03,141,49,190
Anantapur,2025-04,62,22,84
Anantapur,2025-05,109,38,147
Anantapur,2025-06,132,46,178
Anantapur,2025-07,72,25,97
Anantapur,2025-08,135,47,182
Anantapur,2025-09,101,35,136
Anantapur,2025-10,96,34,130
Anantapur,2025-11,125,44,169
Anantapur,2025-12,115,40,155
Ananthapur,2025-01,36,13,49
Ananthapur,2025-02,66,23,89
Ananthapur,2025-03,40,14,54
Ananthapur,2025-04,20,7,27
Ananthapur,2025-05,46,16,62
Ananthapur,2025-06,55,19,74
Ananthapur,2025-07,28,10,38
Ananthapur,2025-08,51,18,69
Ananthapur,2025-09,50,18,68
Ananthapur,2025-10,42,15,57
Ananthapur,2025-11,40,14,54
Ananthapur,2025-12,54,19,73
Ananthapuramu,2025-01,57,20,77
Ananthapuramu,2025-02,110,38,148
Ananthapuramu,2025-03,102,36,138
Ananthapuramu,2025-04,48,17,65
Ananthapuramu,2025-05,81,28,109
Ananthapuramu,2025-06,72,25,97
Ananthapuramu,2025-07,40,14,54
Ananthapuramu,2025-08,89,31,120
Ananthapuramu,2025-09,57,20,77
Ananthapuramu,2025-10,73,26,99
Ananthapuramu,2025-11,68,24,92
Ananthapuramu,2025-12,77,27,104
Anantnag,2025-01,178,62,240
Anantnag,2025-02,264,92,356
Anantnag,2025-03,46,16,62
Anantnag,2025-04,70,24,94
Anantnag,2025-05,152,54,206
Anantnag,2025-06,98,34,132
Anantnag,2025-07,70,24,94
Anantnag,2025-08,194,68,262
Anantnag,2025-09,250,88,338
Anantnag,2025-10,240,84,324
Anantnag,2025-11,206,72,278
Anantnag,2025-12,56,20,76
Andamans,2025-01,3,1,4
Andamans,2025-02,1,0,1
Andamans,2025-04,3,1,4
Andamans,2025-09,4,1,5
Andamans,2025-11,3,1,4
Andamans,2025-12,1,0,1
Angul,2025-01,170,60,230
Angul,2025-02,212,74,286
Angul,2025-03,220,76,296
Angul,2025-04,128,44,172
Angul,2025-05,134,46,180
Angul,2025-06,214,74,288
Angul,2025-07,60,20,80
Angul,2025-08,240,84,324
Angul,2025-09,222,78,300
Angul,2025-10,200,70,270
Angul,2025-11,192,68,260
Angul,2025-12,176,62,238
Anjaw,2025-01,2,1,3
Anjaw,2025-03,4,1,5
Anjaw,2025-05,3,1,4
Anjaw,2025-06,2,1,3
Anjaw,2025-08,3,1,4
Anjaw,2025-11,2,1,3
Anjaw,2025-12,1,0,1
Annamayya,2025-01,12,4,16
Annamayya,2025-02,47,16,63
Annamayya,2025-03,20,7,27
Annamayya,2025-04,22,8,30
Annamayya,2025-05,41,14,55
Annamayya,2025-06,21,7,28
Annamayya,2025-07,12,4,16
Annamayya,2025-08,27,9,36
Annamayya,2025-09,29,10,39
Annamayya,2025-10,34,12,46
Annamayya,2025-11,21,7,28
Annamayya,2025-12,30,10,40
Anugul,2025-01,32,12,44
Anugul,2025-02,24,8,32
Anugul,2025-03,10,4,14
Anugul,2025-04,4,2,6
Anugul,2025-05,10,4,14
Anugul,2025-06,14,4,18
Anugul,2025-07,6,2,8
Anugul,2025-08,14,6,20
Anugul,2025-09,16,4,20
Anugul,2025-10,14,6,20
Anugul,2025-11,4,2,6
Anugul,2025-12,24,8,32
Anuppur,2025-01,26,9,35
Anuppur,2025-02,182,64,246
Anuppur,2025-03,61,21,82
Anuppur,2025-04,30,10,40
Anuppur,2025-05,84,29,113
Anuppur,2025-06,71,25,96
Anuppur,2025-07,59,21,80
Anuppur,2025-08,131,46,177
Anuppur,2025-09,113,40,153
Anuppur,2025-10,112,39,151
Anuppur,2025-11,89,31,120
Anuppur,2025-12,64,22,86
Araria,2025-01,2242,785,3027
Araria,2025-02,475,166,641
Araria,2025-03,273,96,369
Araria,2025-04,172,60,232
Araria,2025-05,378,132,510
Araria,2025-06,390,136,526
Araria,2025-07,157,55,212
Araria,2025-08,410,144,554
Araria,2025-09,278,97,375
Araria,2025-10,404,141,545
Araria,2025-11,310,108,418
Araria,2025-12,290,102,392
Ariyalur,2025-01,69,24,93
Ariyalur,2025-02,113,40,153
Ariyalur,2025-03,100,35,135
Ariyalur,2025-04,32,11,43
Ariyalur,2025-05,64,22,86
Ariyalur,2025-06,49,17,66
Ariyalur,2025-07,31,11,42
Ariyalur,2025-08,68,24,92
Ariyalur,2025-09,74,26,100
Ariyalur,2025-10,66,23,89
Ariyalur,2025-11,72,25,97
Ariyalur,2025-12,42,15,57
Arvalli,2025-01,844,295,1139
Arvalli,2025-02,55,19,74
Arvalli,2025-03,32,11,43
Arvalli,2025-04,23,8,31
Arvalli,2025-05,8,3,11
Arvalli,2025-06,9,3,12
Arvalli,2025-07,8,3,11
Arvalli,2025-08,65,23,88
Arvalli,2025-09,74,26,100
Arvalli,2025-10,42,15,57
Arvalli,2025-11,60,21,81
Arvalli,2025-12,55,19,74
Arwal,2025-01,789,276,1065
Arwal,2025-02,137,48,185
Arwal,2025-03,60,21,81
Arwal,2025-04,59,21,80
Arwal,2025-05,70,24,94
Arwal,2025-06,94,33,127
Arwal,2025-07,39,14,53
Arwal,2025-08,157,55,212
Arwal,2025-09,120,42,162
Arwal,2025-10,102,36,138
Arwal,2025-11,83,29,112
Arwal,2025-12,86,30,116
Ashok Nagar,2025-01,870,304,1174
Ashok Nagar,2025-02,216,76,292
Ashok Nagar,2025-03,117,41,158
Ashok Nagar,2025-04,149,52,201
Ashok Nagar,2025-05,107,37,144
Ashok Nagar,2025-06,136,48,184
Ashok Nagar,2025-07,70,24,94
Ashok Nagar,2025-08,203,71,274
Ashok Nagar,2025-09,175,61,236
Ashok Nagar,2025-10,285,100,385
Ashok Nagar,2025-11,171,60,231
Ashok Nagar,2025-12,175,61,236
Ashoknagar,2025-01,3011,1054,4065
Auraiya,2025-01,126,44,170
Auraiya,2025-02,191,67,258
Auraiya,2025-03,125,44,169
Auraiya,2025-04,91,32,123
Auraiya,2025-05,80,28,108
Auraiya,2025-06,86,30,116
Auraiya,2025-07,64,22,86
Auraiya,2025-08,124,43,167
Auraiya,2025-09,132,46,178
Auraiya,2025-10,149,52,201
Auraiya,2025-11,107,37,144
Auraiya,2025-12,117,41,158
Aurangabad,2025-01,10154,3554,13708
Aurangabad,2025-02,2270,794,3064
Aurangabad,2025-03,1082,378,1460
Aurangabad,2025-04,702,246,948
Aurangabad,2025-05,1278,448,1726
Aurangabad,2025-06,962,336,1298
Aurangabad,2025-07,684,240,924
Aurangabad,2025-08,1570,550,2120
Aurangabad,2025-09,1542,540,2082
Aurangabad,2025-10,1574,552,2126
Aurangabad,2025-11,1274,446,1720
Aurangabad,2025-12,1184,416,1600
Aurangabad(BH),2025-05,1,0,1
Aurangabad(bh),2025-01,1,0,1
Aurangabad(bh),2025-02,1,0,1
Aurangabad(bh),2025-03,5,2,7
Aurangabad(bh),2025-04,2,1,3
Aurangabad(bh),2025-05,7,2,9
Aurangabad(bh),2025-06,3,1,4
Aurangabad(bh),2025-07,1,0,1
Aurangabad(bh),2025-08,6,2,8
Aurangabad(bh),2025-10,2,1,3
Aurangabad(bh),2025-11,4,1,5
Aurangabad(bh),2025-12,1,0,1
Ayodhya,2025-01,705,247,952
Ayodhya,2025-02,48,17,65
Ayodhya,2025-03,17,6,23
Ayodhya,2025-04,35,12,47
Ayodhya,2025-05,18,6,24
Ayodhya,2025-06,32,11,43
Ayodhya,2025-07,17,6,23
Ayodhya,2025-08,32,11,43
Ayodhya,2025-09,34,12,46
Ayodhya,2025-10,42,15,57
Ayodhya,2025-11,33,12,45
Ayodhya,2025-12,34,12,46
Azamgarh,2025-01,5045,1766,6811
Azamgarh,2025-02,622,218,840
Azamgarh,2025-03,443,155,598
Azamgarh,2025-04,317,111,428
Azamgarh,2025-05,319,112,431
Azamgarh,2025-06,469,164,633
Azamgarh,2025-07,232,81,313
Azamgarh,2025-08,502,176,678
Azamgarh,2025-09,484,169,653
Azamgarh,2025-10,574,201,775
Azamgarh,2025-11,410,144,554
Azamgarh,2025-12,594,208,802
Badgam,2025-01,86,30,116
Badgam,2025-02,142,50,192
Badgam,2025-03,60,20,80
Badgam,2025-04,52,18,70
Badgam,2025-05,102,36,138
Badgam,2025-06,66,24,90
Badgam,2025-07,40,14,54
Badgam,2025-08,142,50,192
Badgam,2025-09,148,52,200
Badgam,2025-10,124,44,168
Badgam,2025-11,90,32,122
Badgam,2025-12,28,10,38
Bagalkot,2025-01,193,68,261
Bagalkot,2025-02,273,96,369
Bagalkot,2025-03,176,62,238
Bagalkot,2025-04,127,44,171
Bagalkot,2025-05,82,29,111
Bagalkot,2025-06,174,61,235
Bagalkot,2025-07,92,32,124
Bagalkot,2025-08,227,79,306
Bagalkot,2025-09,212,74,286
Bagalkot,2025-10,259,91,350
Bagalkot,2025-11,232,81,313
Bagalkot,2025-12,157,55,212
Bagalkot *,2025-01,4,1,5
Bagalkot *,2025-02,10,4,14
Bagalkot *,2025-03,12,4,16
Bagalkot *,2025-04,5,2,7
Bagalkot *,2025-05,2,1,3
Bagalkot *,2025-06,10,4,14
Bagalkot *,2025-07,1,0,1
Bagalkot *,2025-08,4,1,5
Bagalkot *,2025-10,7,2,9
Bagalkot *,2025-11,6,2,8
Bagalkot *,2025-12,5,2,7
Bageshwar,2025-01,8,3,11
Bageshwar,2025-02,19,7,26
Bageshwar,2025-03,23,8,31
Bageshwar,2025-04,15,5,20
Bageshwar,2025-05,21,7,28
Bageshwar,2025-06,13,5,18
Bageshwar,2025-07,6,2,8
Bageshwar,2025-08,22,8,30
Bageshwar,2025-09,33,12,45
Bageshwar,2025-10,27,9,36
Bageshwar,2025-11,23,8,31
Bageshwar,2025-12,12,4,16
Baghpat,2025-01,1358,475,1833
Baghpat,2025-02,232,81,313
Baghpat,2025-03,125,44,169
Baghpat,2025-04,91,32,123
Baghpat,2025-05,100,35,135
Baghpat,2025-06,166,58,224
Baghpat,2025-07,49,17,66
Baghpat,2025-08,152,53,205
Baghpat,2025-09,214,75,289
Baghpat,2025-10,217,76,293
Baghpat,2025-11,157,55,212
Baghpat,2025-12,166,58,224
Bahraich,2025-01,22389,7836,30225
Bahraich,2025-02,634,222,856
Bahraich,2025-03,522,183,705
Bahraich,2025-04,433,152,585
Bahraich,2025-05,423,148,571
Bahraich,2025-06,582,204,786
Bahraich,2025-07,290,102,392
Bahraich,2025-08,614,215,829
Bahraich,2025-09,719,252,971
Bahraich,2025-10,651,228,879
Bahraich,2025-11,468,164,632
Bahraich,2025-12,615,215,830
Bajali,2025-01,3,1,4
Bajali,2025-02,1,0,1
Bajali,2025-05,1,0,1
Bajali,2025-06,2,1,3
Bajali,2025-08,1,0,1
Bajali,2025-10,1,0,1
Bajali,2025-12,3,1,4
Baksa,2025-01,1475,516,1991
Baksa,2025-02,111,39,150
Baksa,2025-03,70,24,94
Baksa,2025-04,49,17,66
Baksa,2025-05,79,28,107
Baksa,2025-06,46,16,62
Baksa,2025-07,41,14,55
Baksa,2025-08,65,23,88
Baksa,2025-09,65,23,88
Baksa,2025-10,50,18,68
Baksa,2025-11,44,15,59
Baksa,2025-12,51,18,69
Balaghat,2025-01,509,178,687
Balaghat,2025-02,343,120,463
Balaghat,2025-03,160,56,216
Balaghat,2025-04,99,35,134
Balaghat,2025-05,142,50,192
Balaghat,2025-06,109,38,147
Balaghat,2025-07,73,26,99
Balaghat,2025-08,207,72,279
Balaghat,2025-09,208,73,281
Balaghat,2025-10,239,84,323
Balaghat,2025-11,235,82,317
Balaghat,2025-12,168,59,227
Balangir,2025-01,376,130,506
Balangir,2025-02,480,168,648
Balangir,2025-03,360,126,486
Balangir,2025-04,266,94,360
Balangir,2025-05,286,100,386
Balangir,2025-06,292,102,394
Balangir,2025-07,64,22,86
Balangir,2025-08,406,142,548
Balangir,2025-09,410,142,552
Balangir,2025-10,314,110,424
Balangir,2025-11,306,106,412
Balangir,2025-12,262,92,354
Baleshwar,2025-01,62,22,84
Baleshwar,2025-02,122,44,166
Baleshwar,2025-03,54,20,74
Baleshwar,2025-04,58,20,78
Baleshwar,2025-05,64,22,86
Baleshwar,2025-06,72,26,98
Baleshwar,2025-07,20,6,26
Baleshwar,2025-08,98,34,132
Baleshwar,2025-09,58,20,78
Baleshwar,2025-10,116,40,156
Baleshwar,2025-11,66,22,88
Baleshwar,2025-12,72,26,98
Baleswar,2025-01,372,130,502
Baleswar,2025-02,568,198,766
Baleswar,2025-03,256,90,346
Baleswar,2025-04,284,100,384
Baleswar,2025-05,260,92,352
Baleswar,2025-06,350,122,472
Baleswar,2025-07,90,32,122
Baleswar,2025-08,422,148,570
Baleswar,2025-09,466,164,630
Baleswar,2025-10,456,160,616
Baleswar,2025-11,418,146,564
Baleswar,2025-12,358,126,484
Ballari,2025-01,74,26,100
Ballari,2025-02,110,38,148
Ballari,2025-03,64,22,86
Ballari,2025-04,68,24,92
Ballari,2025-05,51,18,69
Ballari,2025-06,77,27,104
Ballari,2025-07,15,5,20
Ballari,2025-08,104,36,140
Ballari,2025-09,97,34,131
Ballari,2025-10,117,41,158
Ballari,2025-11,91,32,123
Ballari,2025-12,67,23,90
Ballia,2025-01,250,88,338
Ballia,2025-02,363,127,490
Ballia,2025-03,273,96,369
Ballia,2025-04,174,61,235
Ballia,2025-05,237,83,320
Ballia,2025-06,254,89,343
Ballia,2025-07,155,54,209
Ballia,2025-08,337,118,455
Ballia,2025-09,338,118,456
Ballia,2025-10,442,155,597
Ballia,2025-11,285,100,385
Ballia,2025-12,281,98,379
Balod,2025-01,20,7,27
Balod,2025-02,84,29,113
Balod,2025-03,31,11,42
Balod,2025-04,15,5,20
Balod,2025-05,38,13,51
Balod,2025-06,35,12,47
Balod,2025-07,20,7,27
Balod,2025-08,79,28,107
Balod,2025-09,65,23,88
Balod,2025-10,58,20,78
Balod,2025-11,43,15,58
Balod,2025-12,42,15,57
Baloda Bazar,2025-01,638,223,861
Baloda Bazar,2025-02,219,77,296
Baloda Bazar,2025-03,90,31,121
Baloda Bazar,2025-04,46,16,62
Baloda Bazar,2025-05,91,32,123
Baloda Bazar,2025-06,90,31,121
Baloda Bazar,2025-07,68,24,92
Baloda Bazar,2025-08,185,65,250
Baloda Bazar,2025-09,141,49,190
Baloda Bazar,2025-10,130,46,176
Baloda Bazar,2025-11,81,28,109
Baloda Bazar,2025-12,131,46,177
Balrampur,2025-01,12862,4500,17362
Balrampur,2025-02,886,310,1196
Balrampur,2025-03,542,190,732
Balrampur,2025-04,366,128,494
Balrampur,2025-05,716,252,968
Balrampur,2025-06,542,190,732
Balrampur,2025-07,330,116,446
Balrampur,2025-08,858,300,1158
Balrampur,2025-09,796,278,1074
Balrampur,2025-10,962,336,1298
Balrampur,2025-11,554,194,748
Balrampur,2025-12,606,212,818
Banas Kantha,2025-01,12522,4383,16905
Banas Kantha,2025-02,8,3,11
Banas Kantha,2025-03,4,1,5
Banas Kantha,2025-04,1,0,1
Banas Kantha,2025-06,1,0,1
Banas Kantha,2025-08,2,1,3
Banas Kantha,2025-09,7,2,9
Banas Kantha,2025-10,9,3,12
Banas Kantha,2025-11,1,0,1
Banas Kantha,2025-12,6,2,8
Banaskantha,2025-01,6472,2265,8737
Banaskantha,2025-02,484,169,653
Banaskantha,2025-03,265,93,358
Banaskantha,2025-04,241,84,325
Banaskantha,2025-05,58,20,78
Banaskantha,2025-06,160,56,216
Banaskantha,2025-07,77,27,104
Banaskantha,2025-08,166,58,224
Banaskantha,2025-09,276,97,373
Banaskantha,2025-10,279,98,377
Banaskantha,2025-11,356,125,481
Banaskantha,2025-12,369,129,498
Banda,2025-01,4594,1608,6202
Banda,2025-02,294,103,397
Banda,2025-03,187,65,252
Banda,2025-04,143,50,193
Banda,2025-05,157,55,212
Banda,2025-06,150,52,202
Banda,2025-07,68,24,92
Banda,2025-08,240,84,324
Banda,2025-09,231,81,312
Banda,2025-10,232,81,313
Banda,2025-11,163,57,220
Banda,2025-12,183,64,247
Bandipore,2025-01,52,18,70
