year_month,district,demand_total,monthly_capacity,request_capacity_ratio,delay_index,load_category
2025-11,Adilabad,55,76960.0,0.0007146569646569,LOW,festival
2025-11,Adilabad,121,47840.0,0.0025292642140468,LOW,festival
2025-11,Adilabad,121,76960.0,0.0015722453222453,LOW,festival
2025-12,Adilabad,57,47840.0,0.0011914715719063,LOW,normal
2025-12,Adilabad,57,76960.0,0.0007406444906444,LOW,normal
2025-12,Adilabad,147,47840.0,0.0030727424749163,LOW,normal
2025-12,Adilabad,147,76960.0,0.0019100831600831,LOW,normal
2025-01,Agar Malwa,51,16640.0,0.0030649038461538,LOW,scheme
2025-02,Agar Malwa,173,16640.0,0.0103966346153846,LOW,normal
2025-03,Agar Malwa,53,16640.0,0.0031850961538461,LOW,exam
2025-04,Agar Malwa,43,16640.0,0.0025841346153846,LOW,exam
2025-05,Agar Malwa,81,16640.0,0.0048677884615384,LOW,normal
2025-06,Agar Malwa,78,16640.0,0.0046875,LOW,normal
2025-07,Agar Malwa,47,16640.0,0.0028245192307692,LOW,normal
2025-08,Agar Malwa,121,16640.0,0.0072716346153846,LOW,normal
2025-09,Agar Malwa,143,16640.0,0.00859375,LOW,normal
2025-10,Agar Malwa,144,16640.0,0.0086538461538461,LOW,festival
2025-11,Agar Malwa,92,16640.0,0.0055288461538461,LOW,festival
2025-12,Agar Malwa,86,16640.0,0.0051682692307692,LOW,normal
2025-01,Agra,17258,293280.0,0.0588447899618112,LOW,scheme
2025-02,Agra,960,293280.0,0.0032733224222585,LOW,normal
2025-03,Agra,462,293280.0,0.0015752864157119,LOW,exam
2025-04,Agra,414,293280.0,0.001411620294599,LOW,exam
2025-05,Agra,536,293280.0,0.0018276050190943,LOW,normal
2025-06,Agra,595,293280.0,0.002028777959629,LOW,normal
2025-07,Agra,339,293280.0,0.00115589198036,LOW,normal
2025-08,Agra,684,293280.0,0.0023322422258592,LOW,normal
2025-09,Agra,720,293280.0,0.0024549918166939,LOW,normal
2025-10,Agra,950,293280.0,0.0032392253136933,LOW,festival
2025-11,Agra,608,293280.0,0.0020731042007637,LOW,festival
2025-12,Agra,705,293280.0,0.0024038461538461,LOW,normal
2025-01,Ahmadabad,7740,12480.0,0.6201923076923077,HIGH,scheme
2025-02,Ahmadabad,47,12480.0,0.0037660256410256,LOW,normal
2025-03,Ahmadabad,28,12480.0,0.0022435897435897,LOW,exam
2025-04,Ahmadabad,24,12480.0,0.0019230769230769,LOW,exam
2025-05,Ahmadabad,23,12480.0,0.0018429487179487,LOW,normal
2025-06,Ahmadabad,31,12480.0,0.0024839743589743,LOW,normal
2025-07,Ahmadabad,12,12480.0,0.0009615384615384,LOW,normal
2025-08,Ahmadabad,66,12480.0,0.0052884615384615,LOW,normal
2025-09,Ahmadabad,45,12480.0,0.0036057692307692,LOW,normal
2025-10,Ahmadabad,45,12480.0,0.0036057692307692,LOW,festival
2025-11,Ahmadabad,46,12480.0,0.0036858974358974,LOW,festival
2025-12,Ahmadabad,50,12480.0,0.0040064102564102,LOW,normal
2025-01,Ahmadnagar,396,378560.0,0.0010460693153,LOW,scheme
2025-02,Ahmadnagar,687,378560.0,0.0018147717666948,LOW,normal
2025-03,Ahmadnagar,374,378560.0,0.0009879543533389,LOW,exam
2025-04,Ahmadnagar,278,378560.0,0.000734361792054,LOW,exam
2025-05,Ahmadnagar,198,378560.0,0.00052303465765,LOW,normal
2025-06,Ahmadnagar,216,378560.0,0.0005705832628909,LOW,normal
2025-07,Ahmadnagar,163,378560.0,0.0004305790363482,LOW,normal
2025-08,Ahmadnagar,462,378560.0,0.0012204142011834,LOW,normal
2025-09,Ahmadnagar,559,378560.0,0.0014766483516483,LOW,normal
2025-10,Ahmadnagar,423,378560.0,0.0011173922231614,LOW,festival
2025-11,Ahmadnagar,410,378560.0,0.0010830515638207,LOW,festival
2025-12,Ahmadnagar,370,378560.0,0.0009773879966187,LOW,normal
2025-01,Ahmed Nagar,7,8320.0,0.0008413461538461,LOW,scheme
2025-02,Ahmed Nagar,20,8320.0,0.0024038461538461,LOW,normal
2025-03,Ahmed Nagar,19,8320.0,0.0022836538461538,LOW,exam
2025-04,Ahmed Nagar,4,8320.0,0.0004807692307692,LOW,exam
2025-05,Ahmed Nagar,11,8320.0,0.0013221153846153,LOW,normal
2025-06,Ahmed Nagar,8,8320.0,0.0009615384615384,LOW,normal
2025-07,Ahmed Nagar,7,8320.0,0.0008413461538461,LOW,normal
2025-08,Ahmed Nagar,9,8320.0,0.0010817307692307,LOW,normal
2025-09,Ahmed Nagar,11,8320.0,0.0013221153846153,LOW,normal
2025-10,Ahmed Nagar,7,8320.0,0.0008413461538461,LOW,festival
2025-11,Ahmed Nagar,7,8320.0,0.0008413461538461,LOW,festival
2025-12,Ahmed Nagar,9,8320.0,0.0010817307692307,LOW,normal
2025-01,Ahmedabad,3453,445120.0,0.0077574586628324,LOW,scheme
2025-02,Ahmedabad,972,445120.0,0.0021836808051761,LOW,normal
2025-03,Ahmedabad,580,445120.0,0.001303019410496,LOW,exam
2025-04,Ahmedabad,394,445120.0,0.0008851545650611,LOW,exam
2025-05,Ahmedabad,374,445120.0,0.0008402228612508,LOW,normal
2025-06,Ahmedabad,489,445120.0,0.0010985801581595,LOW,normal
2025-07,Ahmedabad,231,445120.0,0.0005189611790079,LOW,normal
2025-08,Ahmedabad,891,445120.0,0.0020017074047447,LOW,normal
2025-09,Ahmedabad,828,445120.0,0.0018601725377426,LOW,normal
2025-10,Ahmedabad,767,445120.0,0.0017231308411214,LOW,festival
2025-11,Ahmedabad,791,445120.0,0.0017770488856937,LOW,festival
2025-12,Ahmedabad,787,445120.0,0.0017680625449317,LOW,normal
2025-01,Ahmednagar,497,,,HIGH,scheme
2025-01,Aizawl,27,20800.0,0.0012980769230769,LOW,scheme
2025-02,Aizawl,59,20800.0,0.0028365384615384,LOW,normal
2025-03,Aizawl,32,20800.0,0.0015384615384615,LOW,exam
2025-04,Aizawl,23,20800.0,0.0011057692307692,LOW,exam
2025-05,Aizawl,43,20800.0,0.0020673076923076,LOW,normal
2025-06,Aizawl,30,20800.0,0.0014423076923076,LOW,normal
2025-07,Aizawl,12,20800.0,0.000576923076923,LOW,normal
2025-08,Aizawl,35,20800.0,0.0016826923076923,LOW,normal
2025-09,Aizawl,63,20800.0,0.0030288461538461,LOW,normal
2025-10,Aizawl,51,20800.0,0.002451923076923,LOW,festival
2025-11,Aizawl,22,20800.0,0.0010576923076923,LOW,festival
2025-12,Aizawl,43,20800.0,0.0020673076923076,LOW,normal
2025-01,Ajmer,3139,205920.0,0.0152437839937839,LOW,scheme
2025-02,Ajmer,522,205920.0,0.002534965034965,LOW,normal
2025-03,Ajmer,319,205920.0,0.0015491452991452,LOW,exam
2025-04,Ajmer,174,205920.0,0.0008449883449883,LOW,exam
2025-05,Ajmer,312,205920.0,0.0015151515151515,LOW,normal
2025-06,Ajmer,310,205920.0,0.001505439005439,LOW,normal
2025-07,Ajmer,205,205920.0,0.0009955322455322,LOW,normal
2025-08,Ajmer,409,205920.0,0.0019862082362082,LOW,normal
2025-09,Ajmer,481,205920.0,0.0023358585858585,LOW,normal
2025-10,Ajmer,633,205920.0,0.0030740093240093,LOW,festival
2025-11,Ajmer,412,205920.0,0.002000777000777,LOW,festival
2025-12,Ajmer,529,205920.0,0.0025689588189588,LOW,normal
2025-01,Akola,938,104000.0,0.0090192307692307,LOW,scheme
2025-02,Akola,297,104000.0,0.0028557692307692,LOW,normal
2025-03,Akola,136,104000.0,0.0013076923076923,LOW,exam
2025-04,Akola,99,104000.0,0.000951923076923,LOW,exam
2025-05,Akola,80,104000.0,0.0007692307692307,LOW,normal
2025-06,Akola,49,104000.0,0.0004711538461538,LOW,normal
2025-07,Akola,76,104000.0,0.0007307692307692,LOW,normal
2025-08,Akola,211,104000.0,0.0020288461538461,LOW,normal
2025-09,Akola,173,104000.0,0.0016634615384615,LOW,normal
2025-10,Akola,174,104000.0,0.0016730769230769,LOW,festival
2025-11,Akola,171,104000.0,0.0016442307692307,LOW,festival
2025-12,Akola,170,104000.0,0.0016346153846153,LOW,normal
2025-01,Alappuzha,68,60320.0,0.0011273209549071,LOW,scheme
2025-02,Alappuzha,227,60320.0,0.0037632625994694,LOW,normal
2025-03,Alappuzha,92,60320.0,0.001525198938992,LOW,exam
2025-04,Alappuzha,7,60320.0,0.000116047745358,LOW,exam
2025-05,Alappuzha,115,60320.0,0.00190649867374,LOW,normal
2025-06,Alappuzha,49,60320.0,0.0008123342175066,LOW,normal
2025-07,Alappuzha,42,60320.0,0.0006962864721485,LOW,normal
2025-08,Alappuzha,142,60320.0,0.0023541114058355,LOW,normal
2025-09,Alappuzha,159,60320.0,0.0026359416445623,LOW,normal
2025-10,Alappuzha,167,60320.0,0.0027685676392572,LOW,festival
2025-11,Alappuzha,161,60320.0,0.002669098143236,LOW,festival
2025-12,Alappuzha,111,60320.0,0.0018401856763925,LOW,normal
2025-01,Aligarh,18743,309920.0,0.06047689726381,LOW,scheme
2025-02,Aligarh,732,309920.0,0.0023618998451213,LOW,normal
2025-03,Aligarh,383,309920.0,0.0012358027878162,LOW,exam
2025-04,Aligarh,308,309920.0,0.0009938048528652,LOW,exam
2025-05,Aligarh,404,309920.0,0.0013035622096024,LOW,normal
2025-06,Aligarh,548,309920.0,0.0017681982447083,LOW,normal
2025-07,Aligarh,232,309920.0,0.0007485802787816,LOW,normal
2025-08,Aligarh,421,309920.0,0.001358415074858,LOW,normal
2025-09,Aligarh,698,309920.0,0.0022521941146102,LOW,normal
2025-10,Aligarh,640,309920.0,0.0020650490449148,LOW,festival
2025-11,Aligarh,352,309920.0,0.0011357769747031,LOW,festival
2025-12,Aligarh,552,309920.0,0.001781104801239,LOW,normal
2025-01,Alipurduar,3521,18720.0,0.1880876068376068,MEDIUM,scheme
2025-02,Alipurduar,54,18720.0,0.0028846153846153,LOW,normal
2025-03,Alipurduar,38,18720.0,0.0020299145299145,LOW,exam
2025-04,Alipurduar,19,18720.0,0.0010149572649572,LOW,exam
2025-05,Alipurduar,31,18720.0,0.0016559829059829,LOW,normal
2025-06,Alipurduar,40,18720.0,0.0021367521367521,LOW,normal
2025-07,Alipurduar,19,18720.0,0.0010149572649572,LOW,normal
2025-08,Alipurduar,46,18720.0,0.0024572649572649,LOW,normal
2025-09,Alipurduar,69,18720.0,0.0036858974358974,LOW,normal
2025-10,Alipurduar,62,18720.0,0.0033119658119658,LOW,festival
2025-11,Alipurduar,36,18720.0,0.0019230769230769,LOW,festival
2025-12,Alipurduar,55,18720.0,0.0029380341880341,LOW,normal
2025-01,Alirajpur,4014,35360.0,0.1135180995475113,MEDIUM,scheme
2025-02,Alirajpur,333,35360.0,0.0094174208144796,LOW,normal
2025-03,Alirajpur,115,35360.0,0.0032522624434389,LOW,exam
2025-04,Alirajpur,103,35360.0,0.0029128959276018,LOW,exam
2025-05,Alirajpur,97,35360.0,0.0027432126696832,LOW,normal
2025-06,Alirajpur,94,35360.0,0.0026583710407239,LOW,normal
2025-07,Alirajpur,57,35360.0,0.0016119909502262,LOW,normal
2025-08,Alirajpur,150,35360.0,0.0042420814479638,LOW,normal
2025-09,Alirajpur,165,35360.0,0.0046662895927601,LOW,normal
2025-10,Alirajpur,165,35360.0,0.0046662895927601,LOW,festival
2025-11,Alirajpur,139,35360.0,0.0039309954751131,LOW,festival
2025-12,Alirajpur,148,35360.0,0.0041855203619909,LOW,normal
2025-01,Allahabad,443,309920.0,0.0014294011357769,LOW,scheme
2025-02,Allahabad,821,309920.0,0.0026490707279297,LOW,normal
2025-03,Allahabad,541,309920.0,0.0017456117707795,LOW,exam
2025-04,Allahabad,338,309920.0,0.0010906040268456,LOW,exam
2025-05,Allahabad,576,309920.0,0.0018585441404233,LOW,normal
2025-06,Allahabad,481,309920.0,0.0015520134228187,LOW,normal
2025-07,Allahabad,290,309920.0,0.000935725348477,LOW,normal
2025-08,Allahabad,504,309920.0,0.0016262261228704,LOW,normal
2025-09,Allahabad,644,309920.0,0.0020779556014455,LOW,normal
2025-10,Allahabad,763,309920.0,0.0024619256582343,LOW,festival
2025-11,Allahabad,464,309920.0,0.0014971605575632,LOW,festival
2025-12,Allahabad,589,309920.0,0.0019004904491481,LOW,normal
2025-01,Alluri Sitharama Raju,20,20800.0,0.0009615384615384,LOW,scheme
2025-02,Alluri Sitharama Raju,43,20800.0,0.0020673076923076,LOW,normal
2025-03,Alluri Sitharama Raju,40,20800.0,0.0019230769230769,LOW,exam
2025-04,Alluri Sitharama Raju,15,20800.0,0.0007211538461538,LOW,exam
2025-05,Alluri Sitharama Raju,63,20800.0,0.0030288461538461,LOW,normal
2025-06,Alluri Sitharama Raju,38,20800.0,0.001826923076923,LOW,normal
2025-07,Alluri Sitharama Raju,39,20800.0,0.001875,LOW,normal
2025-08,Alluri Sitharama Raju,43,20800.0,0.0020673076923076,LOW,normal
2025-09,Alluri Sitharama Raju,35,20800.0,0.0016826923076923,LOW,normal
2025-10,Alluri Sitharama Raju,50,20800.0,0.0024038461538461,LOW,festival
2025-11,Alluri Sitharama Raju,46,20800.0,0.0022115384615384,LOW,festival
2025-12,Alluri Sitharama Raju,50,20800.0,0.0024038461538461,LOW,normal
2025-01,Almora,18,27040.0,0.0006656804733727,LOW,scheme
2025-02,Almora,54,27040.0,0.0019970414201183,LOW,normal
2025-03,Almora,46,27040.0,0.0017011834319526,LOW,exam
2025-04,Almora,27,27040.0,0.0009985207100591,LOW,exam
2025-05,Almora,30,27040.0,0.0011094674556213,LOW,normal
2025-06,Almora,55,27040.0,0.002034023668639,LOW,normal
2025-07,Almora,23,27040.0,0.0008505917159763,LOW,normal
2025-08,Almora,72,27040.0,0.0026627218934911,LOW,normal
2025-09,Almora,73,27040.0,0.0026997041420118,LOW,normal
2025-10,Almora,77,27040.0,0.0028476331360946,LOW,festival
2025-11,Almora,45,27040.0,0.0016642011834319,LOW,festival
2025-12,Almora,34,27040.0,0.0012573964497041,LOW,normal
2025-01,Alwar,7945,241280.0,0.032928547745358,LOW,scheme
2025-02,Alwar,828,241280.0,0.003431697612732,LOW,normal
2025-03,Alwar,662,241280.0,0.0027437002652519,LOW,exam
2025-04,Alwar,562,241280.0,0.0023292440318302,LOW,exam
2025-05,Alwar,684,241280.0,0.0028348806366047,LOW,normal
2025-06,Alwar,765,241280.0,0.0031705901856763,LOW,normal
2025-07,Alwar,324,241280.0,0.0013428381962864,LOW,normal
2025-08,Alwar,903,241280.0,0.0037425397877984,LOW,normal
2025-09,Alwar,778,241280.0,0.0032244694960212,LOW,normal
2025-10,Alwar,949,241280.0,0.0039331896551724,LOW,festival
2025-11,Alwar,618,241280.0,0.0025613395225464,LOW,festival
2025-12,Alwar,720,241280.0,0.0029840848806366,LOW,normal
2025-01,Ambala,423,56160.0,0.0075320512820512,LOW,scheme
2025-02,Ambala,123,56160.0,0.0021901709401709,LOW,normal
2025-03,Ambala,47,56160.0,0.0008368945868945,LOW,exam
2025-04,Ambala,18,56160.0,0.0003205128205128,LOW,exam
2025-05,Ambala,100,56160.0,0.0017806267806267,LOW,normal
2025-06,Ambala,70,56160.0,0.0012464387464387,LOW,normal
2025-07,Ambala,47,56160.0,0.0008368945868945,LOW,normal
2025-08,Ambala,128,56160.0,0.0022792022792022,LOW,normal
2025-09,Ambala,132,56160.0,0.0023504273504273,LOW,normal
2025-10,Ambala,126,56160.0,0.0022435897435897,LOW,festival
2025-11,Ambala,108,56160.0,0.0019230769230769,LOW,festival
2025-12,Ambala,103,56160.0,0.0018340455840455,LOW,normal
2025-01,Ambedkar Nagar,747,126880.0,0.0058874527112232,LOW,scheme
2025-02,Ambedkar Nagar,443,126880.0,0.0034914880201765,LOW,normal
2025-03,Ambedkar Nagar,350,126880.0,0.0027585119798234,LOW,exam
2025-04,Ambedkar Nagar,197,126880.0,0.0015526481715006,LOW,exam
2025-05,Ambedkar Nagar,252,126880.0,0.0019861286254728,LOW,normal
2025-06,Ambedkar Nagar,258,126880.0,0.0020334174022698,LOW,normal
2025-07,Ambedkar Nagar,121,126880.0,0.0009536569987389,LOW,normal
2025-08,Ambedkar Nagar,320,126880.0,0.0025220680958385,LOW,normal
2025-09,Ambedkar Nagar,356,126880.0,0.0028058007566204,LOW,normal
2025-10,Ambedkar Nagar,392,126880.0,0.0030895334174022,LOW,festival
2025-11,Ambedkar Nagar,296,126880.0,0.0023329129886506,LOW,festival
2025-12,Ambedkar Nagar,297,126880.0,0.0023407944514501,LOW,normal
2025-01,Amethi,244,126880.0,0.0019230769230769,LOW,scheme
2025-02,Amethi,412,126880.0,0.0032471626733921,LOW,normal
2025-03,Amethi,317,126880.0,0.0024984237074401,LOW,exam
2025-04,Amethi,209,126880.0,0.0016472257250945,LOW,exam
2025-05,Amethi,178,126880.0,0.0014029003783102,LOW,normal
2025-06,Amethi,240,126880.0,0.0018915510718789,LOW,normal
2025-07,Amethi,119,126880.0,0.0009378940731399,LOW,normal
2025-08,Amethi,304,126880.0,0.0023959646910466,LOW,normal
2025-09,Amethi,364,126880.0,0.0028688524590163,LOW,normal
2025-10,Amethi,393,126880.0,0.0030974148802017,LOW,festival
2025-11,Amethi,240,126880.0,0.0018915510718789,LOW,festival
2025-12,Amethi,356,126880.0,0.0028058007566204,LOW,normal
2025-01,Amravati,1530,160160.0,0.009552947052947,LOW,scheme
2025-02,Amravati,360,160160.0,0.0022477522477522,LOW,normal
2025-03,Amravati,140,160160.0,0.0008741258741258,LOW,exam
2025-04,Amravati,124,160160.0,0.0007742257742257,LOW,exam
2025-05,Amravati,112,160160.0,0.0006993006993006,LOW,normal
2025-06,Amravati,84,160160.0,0.0005244755244755,LOW,normal
2025-07,Amravati,73,160160.0,0.0004557942057942,LOW,normal
2025-08,Amravati,267,160160.0,0.0016670829170829,LOW,normal
2025-09,Amravati,289,160160.0,0.0018044455544455,LOW,normal
2025-10,Amravati,288,160160.0,0.0017982017982017,LOW,festival
2025-11,Amravati,246,160160.0,0.001535964035964,LOW,festival
2025-12,Amravati,220,160160.0,0.0013736263736263,LOW,normal
2025-01,Amreli,1446,45760.0,0.0315996503496503,LOW,scheme
2025-02,Amreli,157,45760.0,0.003430944055944,LOW,normal
2025-03,Amreli,121,45760.0,0.0026442307692307,LOW,exam
2025-04,Amreli,73,45760.0,0.0015952797202797,LOW,exam
2025-05,Amreli,30,45760.0,0.0006555944055944,LOW,normal
2025-06,Amreli,89,45760.0,0.00194493006993,LOW,normal
2025-07,Amreli,47,45760.0,0.0010270979020979,LOW,normal
2025-08,Amreli,131,45760.0,0.0028627622377622,LOW,normal
2025-09,Amreli,150,45760.0,0.003277972027972,LOW,normal
2025-10,Amreli,147,45760.0,0.0032124125874125,LOW,festival
2025-11,Amreli,135,45760.0,0.0029501748251748,LOW,festival
2025-12,Amreli,142,45760.0,0.0031031468531468,LOW,normal
2025-01,Amritsar,5627,164320.0,0.0342441577409931,LOW,scheme
2025-02,Amritsar,452,164320.0,0.0027507302823758,LOW,normal
2025-03,Amritsar,113,164320.0,0.0006876825705939,LOW,exam
2025-04,Amritsar,92,164320.0,0.0005598831548198,LOW,exam
2025-05,Amritsar,277,164320.0,0.001685735150925,LOW,normal
2025-06,Amritsar,232,164320.0,0.0014118792599805,LOW,normal
2025-07,Amritsar,61,164320.0,0.0003712268743914,LOW,normal
2025-08,Amritsar,265,164320.0,0.0016127069133398,LOW,normal
2025-09,Amritsar,321,164320.0,0.001953505355404,LOW,normal
2025-10,Amritsar,282,164320.0,0.0017161635832521,LOW,festival
2025-11,Amritsar,215,164320.0,0.0013084225900681,LOW,festival
2025-12,Amritsar,194,164320.0,0.001180623174294,LOW,normal
2025-01,Amroha,1689,149760.0,0.0112780448717948,LOW,scheme
2025-02,Amroha,390,149760.0,0.0026041666666666,LOW,normal
2025-03,Amroha,265,149760.0,0.0017694978632478,LOW,exam
2025-04,Amroha,170,149760.0,0.0011351495726495,LOW,exam
2025-05,Amroha,213,149760.0,0.0014222756410256,LOW,normal
2025-06,Amroha,213,149760.0,0.0014222756410256,LOW,normal
2025-07,Amroha,143,149760.0,0.0009548611111111,LOW,normal
2025-08,Amroha,302,149760.0,0.0020165598290598,LOW,normal
2025-09,Amroha,244,149760.0,0.0016292735042735,LOW,normal
2025-10,Amroha,428,149760.0,0.0028579059829059,LOW,festival
2025-11,Amroha,236,149760.0,0.0015758547008547,LOW,festival
2025-12,Amroha,216,149760.0,0.0014423076923076,LOW,normal
2025-01,Anakapalli,18,22880.0,0.0007867132867132,LOW,scheme
2025-02,Anakapalli,22,22880.0,0.0009615384615384,LOW,normal
2025-03,Anakapalli,24,22880.0,0.001048951048951,LOW,exam
2025-04,Anakapalli,11,22880.0,0.0004807692307692,LOW,exam
2025-05,Anakapalli,8,22880.0,0.0003496503496503,LOW,normal
2025-06,Anakapalli,19,22880.0,0.0008304195804195,LOW,normal
2025-07,Anakapalli,7,22880.0,0.000305944055944,LOW,normal
2025-08,Anakapalli,16,22880.0,0.0006993006993006,LOW,normal
2025-09,Anakapalli,22,22880.0,0.0009615384615384,LOW,normal
2025-10,Anakapalli,19,22880.0,0.0008304195804195,LOW,festival
2025-11,Anakapalli,18,22880.0,0.0007867132867132,LOW,festival
2025-12,Anakapalli,11,22880.0,0.0004807692307692,LOW,normal
2025-01,Anand,2481,64480.0,0.0384770471464019,LOW,scheme
2025-02,Anand,240,64480.0,0.0037220843672456,LOW,normal
2025-03,Anand,176,64480.0,0.0027295285359801,LOW,exam
2025-04,Anand,66,64480.0,0.0010235732009925,LOW,exam
2025-05,Anand,62,64480.0,0.0009615384615384,LOW,normal
2025-06,Anand,96,64480.0,0.0014888337468982,LOW,normal
2025-07,Anand,43,64480.0,0.0006668734491315,LOW,normal
2025-08,Anand,223,64480.0,0.0034584367245657,LOW,normal
2025-09,Anand,255,64480.0,0.0039547146401985,LOW,normal
2025-10,Anand,217,64480.0,0.0033653846153846,LOW,festival
2025-11,Anand,212,64480.0,0.0032878411910669,LOW,festival
2025-12,Anand,231,64480.0,0.0035825062034739,LOW,normal
2025-01,Anantapur,140,114400.0,0.0012237762237762,LOW,scheme
2025-02,Anantapur,259,114400.0,0.002263986013986,LOW,normal
2025-03,Anantapur,190,114400.0,0.0016608391608391,LOW,exam
2025-04,Anantapur,84,114400.0,0.0007342657342657,LOW,exam
2025-05,Anantapur,147,114400.0,0.001284965034965,LOW,normal
2025-06,Anantapur,178,114400.0,0.001555944055944,LOW,normal
2025-07,Anantapur,97,114400.0,0.000847902097902,LOW,normal
2025-08,Anantapur,182,114400.0,0.001590909090909,LOW,normal
2025-09,Anantapur,136,114400.0,0.0011888111888111,LOW,normal
2025-10,Anantapur,130,114400.0,0.0011363636363636,LOW,festival
2025-11,Anantapur,169,114400.0,0.0014772727272727,LOW,festival
2025-12,Anantapur,155,114400.0,0.0013548951048951,LOW,normal
2025-01,Ananthapur,49,49920.0,0.0009815705128205,LOW,scheme
2025-02,Ananthapur,89,49920.0,0.0017828525641025,LOW,normal
2025-03,Ananthapur,54,49920.0,0.0010817307692307,LOW,exam
2025-04,Ananthapur,27,49920.0,0.0005408653846153,LOW,exam
2025-05,Ananthapur,62,49920.0,0.0012419871794871,LOW,normal
2025-06,Ananthapur,74,49920.0,0.0014823717948717,LOW,normal
2025-07,Ananthapur,38,49920.0,0.0007612179487179,LOW,normal
2025-08,Ananthapur,69,49920.0,0.0013822115384615,LOW,normal
2025-09,Ananthapur,68,49920.0,0.0013621794871794,LOW,normal
2025-10,Ananthapur,57,49920.0,0.0011418269230769,LOW,festival
2025-11,Ananthapur,54,49920.0,0.0010817307692307,LOW,festival
2025-12,Ananthapur,73,49920.0,0.0014623397435897,LOW,normal
2025-01,Ananthapuramu,77,93600.0,0.0008226495726495,LOW,scheme
2025-02,Ananthapuramu,148,93600.0,0.0015811965811965,LOW,normal
2025-03,Ananthapuramu,138,93600.0,0.0014743589743589,LOW,exam
2025-04,Ananthapuramu,65,93600.0,0.0006944444444444,LOW,exam
2025-05,Ananthapuramu,109,93600.0,0.0011645299145299,LOW,normal
2025-06,Ananthapuramu,97,93600.0,0.0010363247863247,LOW,normal
2025-07,Ananthapuramu,54,93600.0,0.000576923076923,LOW,normal
2025-08,Ananthapuramu,120,93600.0,0.0012820512820512,LOW,normal
2025-09,Ananthapuramu,77,93600.0,0.0008226495726495,LOW,normal
2025-10,Ananthapuramu,99,93600.0,0.0010576923076923,LOW,festival
