state,district,month,monthly_total_load,district_3M_forecast
Andhra Pradesh,Anakapalli,2025-02-01,22,
Andhra Pradesh,Anakapalli,2025-03-01,24,21.333333333333332
Andhra Pradesh,Anakapalli,2025-04-01,11,19.0
Andhra Pradesh,Anakapalli,2025-05-01,8,14.333333333333334
Andhra Pradesh,Anakapalli,2025-06-01,19,12.666666666666666
Andhra Pradesh,Anakapalli,2025-07-01,7,11.333333333333334
Andhra Pradesh,Anakapalli,2025-08-01,16,14.0
Andhra Pradesh,Anakapalli,2025-09-01,22,15.0
Andhra Pradesh,Anakapalli,2025-10-01,19,19.0
Andhra Pradesh,Anakapalli,2025-11-01,18,19.666666666666668
Andhra Pradesh,Anakapalli,2025-12-01,11,16.0
Andhra Pradesh,Anantapur,2025-01-01,140,
Andhra Pradesh,Anantapur,2025-02-01,259,
Andhra Pradesh,Anantapur,2025-03-01,190,196.33333333333334
Andhra Pradesh,Anantapur,2025-04-01,84,177.66666666666666
Andhra Pradesh,Anantapur,2025-05-01,147,140.33333333333334
Andhra Pradesh,Anantapur,2025-06-01,178,136.33333333333334
Andhra Pradesh,Anantapur,2025-07-01,97,140.66666666666666
Andhra Pradesh,Anantapur,2025-08-01,182,152.33333333333334
Andhra Pradesh,Anantapur,2025-09-01,136,138.33333333333334
Andhra Pradesh,Anantapur,2025-10-01,130,149.33333333333334
Andhra Pradesh,Anantapur,2025-11-01,169,145.0
Andhra Pradesh,Anantapur,2025-12-01,155,151.33333333333334
Andhra Pradesh,Ananthapur,2025-01-01,49,
Andhra Pradesh,Ananthapur,2025-02-01,89,
Andhra Pradesh,Ananthapur,2025-03-01,54,64.0
Andhra Pradesh,Ananthapur,2025-04-01,27,56.666666666666664
Andhra Pradesh,Ananthapur,2025-05-01,62,47.666666666666664
Andhra Pradesh,Ananthapur,2025-06-01,74,54.333333333333336
Andhra Pradesh,Ananthapur,2025-07-01,38,58.0
Andhra Pradesh,Ananthapur,2025-08-01,69,60.333333333333336
Andhra Pradesh,Ananthapur,2025-09-01,68,58.333333333333336
Andhra Pradesh,Ananthapur,2025-10-01,57,64.66666666666667
Andhra Pradesh,Ananthapur,2025-11-01,54,59.666666666666664
Andhra Pradesh,Ananthapur,2025-12-01,73,61.333333333333336
Andhra Pradesh,Ananthapuramu,2025-01-01,77,
Andhra Pradesh,Ananthapuramu,2025-02-01,148,
Andhra Pradesh,Ananthapuramu,2025-03-01,138,121.0
Andhra Pradesh,Ananthapuramu,2025-04-01,65,117.0
Andhra Pradesh,Ananthapuramu,2025-05-01,109,104.0
Andhra Pradesh,Ananthapuramu,2025-06-01,97,90.33333333333333
Andhra Pradesh,Ananthapuramu,2025-07-01,54,86.66666666666667
Andhra Pradesh,Ananthapuramu,2025-08-01,120,90.33333333333333
Andhra Pradesh,Ananthapuramu,2025-09-01,77,83.66666666666667
Andhra Pradesh,Ananthapuramu,2025-10-01,99,98.66666666666667
Andhra Pradesh,Ananthapuramu,2025-11-01,92,89.33333333333333
Andhra Pradesh,Ananthapuramu,2025-12-01,104,98.33333333333333
Andhra Pradesh,Annamayya,2025-01-01,16,
Andhra Pradesh,Annamayya,2025-02-01,63,
Andhra Pradesh,Annamayya,2025-03-01,27,35.333333333333336
Andhra Pradesh,Annamayya,2025-04-01,30,40.0
Andhra Pradesh,Annamayya,2025-05-01,55,37.333333333333336
Andhra Pradesh,Annamayya,2025-06-01,28,37.666666666666664
Andhra Pradesh,Annamayya,2025-07-01,16,33.0
Andhra Pradesh,Annamayya,2025-08-01,36,26.666666666666668
Andhra Pradesh,Annamayya,2025-09-01,39,30.333333333333332
Andhra Pradesh,Annamayya,2025-10-01,46,40.333333333333336
Andhra Pradesh,Annamayya,2025-11-01,28,37.666666666666664
Andhra Pradesh,Annamayya,2025-12-01,40,38.0
Andhra Pradesh,Bapatla,2025-01-01,14,
Andhra Pradesh,Bapatla,2025-02-01,26,
Andhra Pradesh,Bapatla,2025-03-01,16,18.666666666666668
Andhra Pradesh,Bapatla,2025-04-01,5,15.666666666666666
Andhra Pradesh,Bapatla,2025-05-01,19,13.333333333333334
Andhra Pradesh,Bapatla,2025-06-01,12,12.0
Andhra Pradesh,Bapatla,2025-07-01,11,14.0
Andhra Pradesh,Bapatla,2025-08-01,16,13.0
Andhra Pradesh,Bapatla,2025-09-01,23,16.666666666666668
Andhra Pradesh,Bapatla,2025-10-01,19,19.333333333333332
Andhra Pradesh,Bapatla,2025-11-01,19,20.333333333333332
Andhra Pradesh,Bapatla,2025-12-01,9,15.666666666666666
Andhra Pradesh,Chittoor,2025-01-01,220,
Andhra Pradesh,Chittoor,2025-02-01,456,
Andhra Pradesh,Chittoor,2025-03-01,316,330.6666666666667
Andhra Pradesh,Chittoor,2025-04-01,150,307.3333333333333
Andhra Pradesh,Chittoor,2025-05-01,306,257.3333333333333
Andhra Pradesh,Chittoor,2025-06-01,278,244.66666666666666
Andhra Pradesh,Chittoor,2025-07-01,100,228.0
Andhra Pradesh,Chittoor,2025-08-01,343,240.33333333333334
Andhra Pradesh,Chittoor,2025-09-01,265,236.0
Andhra Pradesh,Chittoor,2025-10-01,360,322.6666666666667
Andhra Pradesh,Chittoor,2025-11-01,308,311.0
Andhra Pradesh,Chittoor,2025-12-01,270,312.6666666666667
Andhra Pradesh,Cuddapah,2025-01-01,182,
Andhra Pradesh,Cuddapah,2025-02-01,373,
Andhra Pradesh,Cuddapah,2025-03-01,228,261.0
Andhra Pradesh,Cuddapah,2025-04-01,121,240.66666666666666
Andhra Pradesh,Cuddapah,2025-05-01,227,192.0
Andhra Pradesh,Cuddapah,2025-06-01,240,196.0
Andhra Pradesh,Cuddapah,2025-07-01,86,184.33333333333334
Andhra Pradesh,Cuddapah,2025-08-01,242,189.33333333333334
Andhra Pradesh,Cuddapah,2025-09-01,207,178.33333333333334
Andhra Pradesh,Cuddapah,2025-10-01,236,228.33333333333334
Andhra Pradesh,Cuddapah,2025-11-01,194,212.33333333333334
Andhra Pradesh,Cuddapah,2025-12-01,157,195.66666666666666
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01-01,16,
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02-01,38,
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03-01,26,26.666666666666668
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04-01,5,23.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05-01,22,17.666666666666668
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06-01,24,17.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07-01,12,19.333333333333332
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08-01,30,22.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09-01,30,24.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10-01,32,30.666666666666668
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11-01,19,27.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12-01,27,26.0
Andhra Pradesh,East Godavari,2025-01-01,231,
Andhra Pradesh,East Godavari,2025-02-01,474,
Andhra Pradesh,East Godavari,2025-03-01,258,321.0
Andhra Pradesh,East Godavari,2025-04-01,155,295.6666666666667
Andhra Pradesh,East Godavari,2025-05-01,323,245.33333333333334
Andhra Pradesh,East Godavari,2025-06-01,266,248.0
Andhra Pradesh,East Godavari,2025-07-01,107,232.0
Andhra Pradesh,East Godavari,2025-08-01,327,233.33333333333334
Andhra Pradesh,East Godavari,2025-09-01,305,246.33333333333334
Andhra Pradesh,East Godavari,2025-10-01,348,326.6666666666667
Andhra Pradesh,East Godavari,2025-11-01,252,301.6666666666667
Andhra Pradesh,East Godavari,2025-12-01,244,281.3333333333333
Andhra Pradesh,Eluru,2025-01-01,8,
Andhra Pradesh,Eluru,2025-02-01,38,
Andhra Pradesh,Eluru,2025-03-01,18,21.333333333333332
Andhra Pradesh,Eluru,2025-04-01,12,22.666666666666668
Andhra Pradesh,Eluru,2025-05-01,15,15.0
Andhra Pradesh,Eluru,2025-06-01,31,19.333333333333332
Andhra Pradesh,Eluru,2025-07-01,15,20.333333333333332
Andhra Pradesh,Eluru,2025-08-01,22,22.666666666666668
Andhra Pradesh,Eluru,2025-09-01,24,20.333333333333332
Andhra Pradesh,Eluru,2025-10-01,38,28.0
Andhra Pradesh,Eluru,2025-11-01,39,33.666666666666664
Andhra Pradesh,Eluru,2025-12-01,16,31.0
Andhra Pradesh,Guntur,2025-01-01,252,
Andhra Pradesh,Guntur,2025-02-01,521,
Andhra Pradesh,Guntur,2025-03-01,266,346.3333333333333
Andhra Pradesh,Guntur,2025-04-01,165,317.3333333333333
Andhra Pradesh,Guntur,2025-05-01,367,266.0
Andhra Pradesh,Guntur,2025-06-01,344,292.0
Andhra Pradesh,Guntur,2025-07-01,173,294.6666666666667
Andhra Pradesh,Guntur,2025-08-01,389,302.0
Andhra Pradesh,Guntur,2025-09-01,267,276.3333333333333
Andhra Pradesh,Guntur,2025-10-01,424,360.0
Andhra Pradesh,Guntur,2025-11-01,310,333.6666666666667
Andhra Pradesh,Guntur,2025-12-01,297,343.6666666666667
Andhra Pradesh,Hyderabad,2025-01-01,188,
Andhra Pradesh,Hyderabad,2025-02-01,310,
Andhra Pradesh,Hyderabad,2025-03-01,185,227.66666666666666
Andhra Pradesh,Hyderabad,2025-04-01,116,203.66666666666666
Andhra Pradesh,Hyderabad,2025-05-01,103,134.66666666666666
Andhra Pradesh,Hyderabad,2025-06-01,88,102.33333333333333
Andhra Pradesh,Hyderabad,2025-07-01,90,93.66666666666667
Andhra Pradesh,Hyderabad,2025-08-01,197,125.0
Andhra Pradesh,Hyderabad,2025-09-01,200,162.33333333333334
Andhra Pradesh,Hyderabad,2025-10-01,219,205.33333333333334
Andhra Pradesh,Hyderabad,2025-11-01,232,217.0
Andhra Pradesh,Hyderabad,2025-12-01,162,204.33333333333334
Andhra Pradesh,K.V.Rangareddy,2025-01-01,3,
Andhra Pradesh,K.V.Rangareddy,2025-02-01,3,
Andhra Pradesh,K.V.Rangareddy,2025-03-01,3,3.0
Andhra Pradesh,K.V.Rangareddy,2025-04-01,1,2.3333333333333335
Andhra Pradesh,K.V.Rangareddy,2025-05-01,7,3.6666666666666665
Andhra Pradesh,K.V.Rangareddy,2025-06-01,3,3.6666666666666665
Andhra Pradesh,K.V.Rangareddy,2025-07-01,1,3.6666666666666665
Andhra Pradesh,K.V.Rangareddy,2025-08-01,5,3.0
Andhra Pradesh,K.V.Rangareddy,2025-09-01,3,3.0
Andhra Pradesh,K.V.Rangareddy,2025-10-01,1,3.0
Andhra Pradesh,K.V.Rangareddy,2025-11-01,1,1.6666666666666667
Andhra Pradesh,K.V.Rangareddy,2025-12-01,4,2.0
Andhra Pradesh,K.v. Rangareddy,2025-01-01,1,
Andhra Pradesh,K.v. Rangareddy,2025-04-01,1,
Andhra Pradesh,K.v. Rangareddy,2025-07-01,1,1.0
Andhra Pradesh,Kakinada,2025-01-01,27,
Andhra Pradesh,Kakinada,2025-02-01,46,
Andhra Pradesh,Kakinada,2025-03-01,32,35.0
Andhra Pradesh,Kakinada,2025-04-01,15,31.0
Andhra Pradesh,Kakinada,2025-05-01,45,30.666666666666668
Andhra Pradesh,Kakinada,2025-06-01,27,29.0
Andhra Pradesh,Kakinada,2025-07-01,19,30.333333333333332
Andhra Pradesh,Kakinada,2025-08-01,40,28.666666666666668
Andhra Pradesh,Kakinada,2025-09-01,31,30.0
Andhra Pradesh,Kakinada,2025-10-01,47,39.333333333333336
Andhra Pradesh,Kakinada,2025-11-01,31,36.333333333333336
Andhra Pradesh,Kakinada,2025-12-01,35,37.666666666666664
Andhra Pradesh,Karim Nagar,2025-01-01,4,
Andhra Pradesh,Karim Nagar,2025-02-01,4,
Andhra Pradesh,Karim Nagar,2025-03-01,3,3.6666666666666665
Andhra Pradesh,Karim Nagar,2025-04-01,4,3.6666666666666665
Andhra Pradesh,Karim Nagar,2025-05-01,3,3.3333333333333335
Andhra Pradesh,Karim Nagar,2025-06-01,4,3.6666666666666665
Andhra Pradesh,Karim Nagar,2025-07-01,4,3.6666666666666665
Andhra Pradesh,Karim Nagar,2025-08-01,3,3.6666666666666665
Andhra Pradesh,Karim Nagar,2025-09-01,3,3.3333333333333335
Andhra Pradesh,Karim Nagar,2025-10-01,1,2.3333333333333335
Andhra Pradesh,Karim Nagar,2025-11-01,1,1.6666666666666667
Andhra Pradesh,Karim Nagar,2025-12-01,4,2.0
Andhra Pradesh,Karimnagar,2025-01-01,27,
Andhra Pradesh,Karimnagar,2025-02-01,39,
Andhra Pradesh,Karimnagar,2025-03-01,30,32.0
Andhra Pradesh,Karimnagar,2025-04-01,26,31.666666666666668
Andhra Pradesh,Karimnagar,2025-05-01,15,23.666666666666668
Andhra Pradesh,Karimnagar,2025-06-01,20,20.333333333333332
Andhra Pradesh,Karimnagar,2025-07-01,15,16.666666666666668
Andhra Pradesh,Karimnagar,2025-08-01,45,26.666666666666668
Andhra Pradesh,Karimnagar,2025-09-01,31,30.333333333333332
Andhra Pradesh,Karimnagar,2025-10-01,34,36.666666666666664
Andhra Pradesh,Karimnagar,2025-11-01,34,33.0
Andhra Pradesh,Karimnagar,2025-12-01,34,34.0
Andhra Pradesh,Khammam,2025-01-01,65,
Andhra Pradesh,Khammam,2025-02-01,73,
Andhra Pradesh,Khammam,2025-03-01,49,62.333333333333336
Andhra Pradesh,Khammam,2025-04-01,40,54.0
Andhra Pradesh,Khammam,2025-05-01,19,36.0
Andhra Pradesh,Khammam,2025-06-01,46,35.0
Andhra Pradesh,Khammam,2025-07-01,23,29.333333333333332
Andhra Pradesh,Khammam,2025-08-01,63,44.0
Andhra Pradesh,Khammam,2025-09-01,54,46.666666666666664
Andhra Pradesh,Khammam,2025-10-01,63,60.0
Andhra Pradesh,Khammam,2025-11-01,62,59.666666666666664
Andhra Pradesh,Khammam,2025-12-01,55,60.0
Andhra Pradesh,Krishna,2025-01-01,180,
Andhra Pradesh,Krishna,2025-02-01,466,
Andhra Pradesh,Krishna,2025-03-01,236,294.0
Andhra Pradesh,Krishna,2025-04-01,143,281.6666666666667
Andhra Pradesh,Krishna,2025-05-01,227,202.0
Andhra Pradesh,Krishna,2025-06-01,254,208.0
Andhra Pradesh,Krishna,2025-07-01,123,201.33333333333334
Andhra Pradesh,Krishna,2025-08-01,319,232.0
Andhra Pradesh,Krishna,2025-09-01,285,242.33333333333334
Andhra Pradesh,Krishna,2025-10-01,285,296.3333333333333
Andhra Pradesh,Krishna,2025-11-01,242,270.6666666666667
Andhra Pradesh,Krishna,2025-12-01,225,250.66666666666666
Andhra Pradesh,Kurnool,2025-01-01,373,
Andhra Pradesh,Kurnool,2025-02-01,666,
Andhra Pradesh,Kurnool,2025-03-01,490,509.6666666666667
Andhra Pradesh,Kurnool,2025-04-01,246,467.3333333333333
Andhra Pradesh,Kurnool,2025-05-01,450,395.3333333333333
Andhra Pradesh,Kurnool,2025-06-01,436,377.3333333333333
Andhra Pradesh,Kurnool,2025-07-01,207,364.3333333333333
Andhra Pradesh,Kurnool,2025-08-01,506,383.0
Andhra Pradesh,Kurnool,2025-09-01,416,376.3333333333333
Andhra Pradesh,Kurnool,2025-10-01,409,443.6666666666667
Andhra Pradesh,Kurnool,2025-11-01,351,392.0
Andhra Pradesh,Kurnool,2025-12-01,387,382.3333333333333
Andhra Pradesh,Mahabub Nagar,2025-01-01,80,
Andhra Pradesh,Mahabub Nagar,2025-02-01,92,
Andhra Pradesh,Mahabub Nagar,2025-03-01,66,79.33333333333333
Andhra Pradesh,Mahabub Nagar,2025-04-01,47,68.33333333333333
Andhra Pradesh,Mahabub Nagar,2025-05-01,23,45.333333333333336
Andhra Pradesh,Mahabub Nagar,2025-06-01,55,41.666666666666664
Andhra Pradesh,Mahabub Nagar,2025-07-01,18,32.0
Andhra Pradesh,Mahabub Nagar,2025-08-01,81,51.333333333333336
Andhra Pradesh,Mahabub Nagar,2025-09-01,92,63.666666666666664
Andhra Pradesh,Mahabub Nagar,2025-10-01,80,84.33333333333333
Andhra Pradesh,Mahabub Nagar,2025-11-01,70,80.66666666666667
Andhra Pradesh,Mahabub Nagar,2025-12-01,58,69.33333333333333
Andhra Pradesh,Mahabubnagar,2025-03-01,1,
Andhra Pradesh,Mahabubnagar,2025-11-01,1,
Andhra Pradesh,Mahbubnagar,2025-01-01,35,
Andhra Pradesh,Mahbubnagar,2025-02-01,53,
Andhra Pradesh,Mahbubnagar,2025-03-01,24,37.333333333333336
Andhra Pradesh,Mahbubnagar,2025-04-01,31,36.0
Andhra Pradesh,Mahbubnagar,2025-05-01,11,22.0
Andhra Pradesh,Mahbubnagar,2025-06-01,31,24.333333333333332
Andhra Pradesh,Mahbubnagar,2025-07-01,7,16.333333333333332
Andhra Pradesh,Mahbubnagar,2025-08-01,40,26.0
Andhra Pradesh,Mahbubnagar,2025-09-01,23,23.333333333333332
Andhra Pradesh,Mahbubnagar,2025-10-01,45,36.0
Andhra Pradesh,Mahbubnagar,2025-11-01,28,32.0
Andhra Pradesh,Mahbubnagar,2025-12-01,23,32.0
Andhra Pradesh,Medak,2025-01-01,54,
Andhra Pradesh,Medak,2025-02-01,120,
Andhra Pradesh,Medak,2025-03-01,74,82.66666666666667
Andhra Pradesh,Medak,2025-04-01,36,76.66666666666667
Andhra Pradesh,Medak,2025-05-01,18,42.666666666666664
Andhra Pradesh,Medak,2025-06-01,53,35.666666666666664
Andhra Pradesh,Medak,2025-07-01,18,29.666666666666668
Andhra Pradesh,Medak,2025-08-01,84,51.666666666666664
Andhra Pradesh,Medak,2025-09-01,80,60.666666666666664
Andhra Pradesh,Medak,2025-10-01,65,76.33333333333333
Andhra Pradesh,Medak,2025-11-01,24,56.333333333333336
Andhra Pradesh,Medak,2025-12-01,57,48.666666666666664
Andhra Pradesh,N. T. R,2025-01-01,22,
Andhra Pradesh,N. T. R,2025-02-01,51,
Andhra Pradesh,N. T. R,2025-03-01,34,35.666666666666664
Andhra Pradesh,N. T. R,2025-04-01,20,35.0
Andhra Pradesh,N. T. R,2025-05-01,39,31.0
Andhra Pradesh,N. T. R,2025-06-01,30,29.666666666666668
Andhra Pradesh,N. T. R,2025-07-01,8,25.666666666666668
Andhra Pradesh,N. T. R,2025-08-01,26,21.333333333333332
Andhra Pradesh,N. T. R,2025-09-01,31,21.666666666666668
Andhra Pradesh,N. T. R,2025-10-01,28,28.333333333333332
Andhra Pradesh,N. T. R,2025-11-01,49,36.0
Andhra Pradesh,N. T. R,2025-12-01,43,40.0
Andhra Pradesh,Nalgonda,2025-01-01,51,
Andhra Pradesh,Nalgonda,2025-02-01,70,
Andhra Pradesh,Nalgonda,2025-03-01,68,63.0
Andhra Pradesh,Nalgonda,2025-04-01,38,58.666666666666664
Andhra Pradesh,Nalgonda,2025-05-01,31,45.666666666666664
Andhra Pradesh,Nalgonda,2025-06-01,49,39.333333333333336
Andhra Pradesh,Nalgonda,2025-07-01,24,34.666666666666664
Andhra Pradesh,Nalgonda,2025-08-01,62,45.0
Andhra Pradesh,Nalgonda,2025-09-01,49,45.0
Andhra Pradesh,Nalgonda,2025-10-01,53,54.666666666666664
Andhra Pradesh,Nalgonda,2025-11-01,34,45.333333333333336
Andhra Pradesh,Nalgonda,2025-12-01,69,52.0
Andhra Pradesh,Nandyal,2025-01-01,30,
Andhra Pradesh,Nandyal,2025-02-01,54,
Andhra Pradesh,Nandyal,2025-03-01,31,38.333333333333336
Andhra Pradesh,Nandyal,2025-04-01,8,31.0
Andhra Pradesh,Nandyal,2025-05-01,46,28.333333333333332
Andhra Pradesh,Nandyal,2025-06-01,42,32.0
Andhra Pradesh,Nandyal,2025-07-01,30,39.333333333333336
Andhra Pradesh,Nandyal,2025-08-01,36,36.0
Andhra Pradesh,Nandyal,2025-09-01,22,29.333333333333332
Andhra Pradesh,Nandyal,2025-10-01,35,31.0
Andhra Pradesh,Nandyal,2025-11-01,19,25.333333333333332
Andhra Pradesh,Nandyal,2025-12-01,22,25.333333333333332
Andhra Pradesh,Nellore,2025-01-01,201,
Andhra Pradesh,Nellore,2025-02-01,377,
Andhra Pradesh,Nellore,2025-03-01,216,264.6666666666667
Andhra Pradesh,Nellore,2025-04-01,108,233.66666666666666
Andhra Pradesh,Nellore,2025-05-01,205,176.33333333333334
Andhra Pradesh,Nellore,2025-06-01,221,178.0
Andhra Pradesh,Nellore,2025-07-01,123,183.0
Andhra Pradesh,Nellore,2025-08-01,197,180.33333333333334
Andhra Pradesh,Nellore,2025-09-01,173,164.33333333333334
Andhra Pradesh,Nellore,2025-10-01,185,185.0
Andhra Pradesh,Nellore,2025-11-01,167,175.0
Andhra Pradesh,Nellore,2025-12-01,182,178.0
Andhra Pradesh,Nizamabad,2025-01-01,18,
Andhra Pradesh,Nizamabad,2025-02-01,28,
Andhra Pradesh,Nizamabad,2025-03-01,24,23.333333333333332
Andhra Pradesh,Nizamabad,2025-04-01,16,22.666666666666668
Andhra Pradesh,Nizamabad,2025-05-01,12,17.333333333333332
Andhra Pradesh,Nizamabad,2025-06-01,20,16.0
Andhra Pradesh,Nizamabad,2025-07-01,11,14.333333333333334
Andhra Pradesh,Nizamabad,2025-08-01,28,19.666666666666668
Andhra Pradesh,Nizamabad,2025-09-01,18,19.0
Andhra Pradesh,Nizamabad,2025-10-01,19,21.666666666666668
Andhra Pradesh,Nizamabad,2025-11-01,28,21.666666666666668
Andhra Pradesh,Nizamabad,2025-12-01,22,23.0
Andhra Pradesh,Palnadu,2025-01-01,28,
Andhra Pradesh,Palnadu,2025-02-01,39,
Andhra Pradesh,Palnadu,2025-03-01,24,30.333333333333332
Andhra Pradesh,Palnadu,2025-04-01,14,25.666666666666668
Andhra Pradesh,Palnadu,2025-05-01,43,27.0
Andhra Pradesh,Palnadu,2025-06-01,43,33.333333333333336
Andhra Pradesh,Palnadu,2025-07-01,12,32.666666666666664
Andhra Pradesh,Palnadu,2025-08-01,30,28.333333333333332
Andhra Pradesh,Palnadu,2025-09-01,27,23.0
Andhra Pradesh,Palnadu,2025-10-01,34,30.333333333333332
Andhra Pradesh,Palnadu,2025-11-01,28,29.666666666666668
Andhra Pradesh,Palnadu,2025-12-01,11,24.333333333333332
Andhra Pradesh,Parvathipuram Manyam,2025-01-01,11,
Andhra Pradesh,Parvathipuram Manyam,2025-02-01,32,
Andhra Pradesh,Parvathipuram Manyam,2025-03-01,24,22.333333333333332
Andhra Pradesh,Parvathipuram Manyam,2025-04-01,7,21.0
