year_month,district,bio_age_5_17,bio_age_17_plus,bio_total
2025-03,Baghpat,5917,2117,8034
2025-03,Bahraich,19150,8314,27464
2025-03,Baksa,1333,527,1860
2025-03,Balaghat,6402,8235,14637
2025-03,Balangir,4351,10254,14605
2025-03,Baleshwar,672,2293,2965
2025-03,Baleswar,5171,7445,12616
2025-03,Ballari,2984,1625,4609
2025-03,Ballia,6687,6450,13137
2025-03,Balod,982,4832,5814
2025-03,Baloda Bazar,1619,5092,6711
2025-03,Balrampur,9851,5161,15012
2025-03,Banaskantha,8364,10340,18704
2025-03,Banda,9193,5651,14844
2025-03,Bandipore,866,1736,2602
2025-03,Bangalore,4949,18641,23590
2025-03,Bangalore Rural,1414,2087,3501
2025-03,Banka,6904,7892,14796
2025-03,Bankura,5474,6134,11608
2025-03,Banswara,3331,5978,9309
2025-03,Bapatla,114,131,245
2025-03,Bara Banki,13872,6015,19887
2025-03,Barabanki,57,240,297
2025-03,Baramula,2703,5195,7898
2025-03,Baran,3503,4849,8352
2025-03,Barddhaman,7968,11432,19400
2025-03,Bardhaman,289,762,1051
2025-03,Bareilly,20480,6992,27472
2025-03,Bargarh,3663,7748,11411
2025-03,Barmer,8085,9635,17720
2025-03,Barnala,1305,3407,4712
2025-03,Barpeta,8751,2053,10804
2025-03,Barwani,7982,9951,17933
2025-03,Bastar,990,4272,5262
2025-03,Basti,6664,4721,11385
2025-03,Bathinda,4876,9510,14386
2025-03,Baudh,63,859,922
2025-03,Beed,8159,16280,24439
2025-03,Begusarai,13077,12307,25384
2025-03,Belagavi,6453,3871,10324
2025-03,Belgaum,6317,9227,15544
2025-03,Bellary,3852,4871,8723
2025-03,Bemetara,1030,7139,8169
2025-03,Bengaluru,14823,19747,34570
2025-03,Betul,3867,10755,14622
2025-03,Bhadohi,422,470,892
2025-03,Bhadradri Kothagudem,644,1006,1650
2025-03,Bhadrak,4068,7333,11401
2025-03,Bhagalpur,13344,11954,25298
2025-03,Bhandara,2521,8744,11265
2025-03,Bharatpur,5636,7951,13587
2025-03,Bharuch,4757,5176,9933
2025-03,Bhavnagar,7812,10258,18070
2025-03,Bhilwara,4822,5835,10657
2025-03,Bhind,4405,3388,7793
2025-03,Bhiwani,4091,8113,12204
2025-03,Bhojpur,5124,12146,17270
2025-03,Bhopal,7463,9049,16512
2025-03,Bid,10,417,427
2025-03,Bidar,3330,5333,8663
2025-03,Bijapur,4328,6266,10594
2025-03,Bijnor,15994,7059,23053
2025-03,Bikaner,5707,8703,14410
2025-03,Bilaspur,3469,11496,14965
2025-03,Birbhum,4894,6872,11766
2025-03,Bishnupur,524,607,1131
2025-03,Biswanath,524,317,841
2025-03,Bokaro,3629,8264,11893
2025-03,Bongaigaon,3011,1170,4181
2025-03,Botad,1347,831,2178
2025-03,Boudh,1077,2317,3394
2025-03,Budaun,8868,3283,12151
2025-03,Budgam,1447,949,2396
2025-03,Bulandshahr,15326,4600,19926
2025-03,Buldana,127,3139,3266
2025-03,Buldhana,6763,13362,20125
2025-03,Bundi,2397,3593,5990
2025-03,Burhanpur,2197,3534,5731
2025-03,Buxar,3200,5001,8201
2025-03,Cachar,1988,2199,4187
2025-03,Central Delhi,2299,3805,6104
2025-03,Chamarajanagar,18,81,99
2025-03,Chamba,1764,3313,5077
2025-03,Chamoli,1167,2357,3524
2025-03,Champawat,793,1585,2378
2025-03,Champhai,6324,1528,7852
2025-03,Chamrajanagar,1057,1429,2486
2025-03,Chamrajnagar,22,73,95
2025-03,Chandauli,9352,3593,12945
2025-03,Chandel,249,895,1144
2025-03,Chandigarh,3053,3377,6430
2025-03,Chandrapur,7293,17284,24577
2025-03,Changlang,483,339,822
2025-03,Charaideo,415,202,617
2025-03,Charkhi Dadri,238,857,1095
2025-03,Chatra,5091,7042,12133
2025-03,Chatrapati Sambhaji Nagar,41,246,287
2025-03,Chengalpattu,290,223,513
2025-03,Chennai,11938,18374,30312
2025-03,Chhatarpur,9711,11673,21384
2025-03,Chhatrapati Sambhajinagar,31,156,187
2025-03,Chhindwara,3694,10171,13865
2025-03,Chhotaudepur,1551,1799,3350
2025-03,Chickmagalur,600,2060,2660
2025-03,Chikkaballapur,3015,2627,5642
2025-03,Chikkamagaluru,827,880,1707
2025-03,Chikmagalur,15,91,106
2025-03,Chirang,1611,679,2290
2025-03,Chitradurga,2547,4326,6873
2025-03,Chitrakoot,5216,2356,7572
2025-03,Chittaurgarh,25,157,182
2025-03,Chittoor,18773,9414,28187
2025-03,Chittorgarh,3056,3564,6620
2025-03,Churachandpur,796,866,1662
2025-03,Churu,5734,8444,14178
2025-03,Coimbatore,10507,18424,28931
2025-03,Cooch Behar,2097,3132,5229
2025-03,Cuddalore,12561,7586,20147
2025-03,Cuddapah,11599,5222,16821
2025-03,Cuttack,5126,11988,17114
2025-03,Dadra & Nagar Haveli,13,126,139
2025-03,Dadra and Nagar Haveli,1031,2555,3586
2025-03,Dahod,6531,7658,14189
2025-03,Dakshin Bastar Dantewada,439,1084,1523
2025-03,Dakshin Dinajpur,1775,2540,4315
2025-03,Dakshina Kannada,2780,5479,8259
2025-03,Daman,422,521,943
2025-03,Damoh,7936,12055,19991
2025-03,Dantewada,189,525,714
2025-03,Darbhanga,13331,17721,31052
2025-03,Darjeeling,1632,3600,5232
2025-03,Darjiling,39,183,222
2025-03,Darrang,663,942,1605
2025-03,Datia,2230,2509,4739
2025-03,Dausa,4864,6991,11855
2025-03,Davanagere,199,408,607
2025-03,Davangere,5081,6406,11487
2025-03,Debagarh,684,1311,1995
2025-03,Dehradun,4603,6951,11554
2025-03,Deoghar,5230,5790,11020
2025-03,Deoria,7968,6619,14587
2025-03,Devbhumi Dwarka,1829,932,2761
2025-03,Dewas,3249,6322,9571
2025-03,Dhalai,4853,2723,7576
2025-03,Dhalai  *,30,72,102
2025-03,Dhamtari,748,5784,6532
2025-03,Dhanbad,7080,17070,24150
2025-03,Dhar,6968,9976,16944
2025-03,Dharmapuri,13387,5045,18432
2025-03,Dharwad,6422,7178,13600
2025-03,Dhemaji,1622,834,2456
2025-03,Dhenkanal,4237,7571,11808
2025-03,Dholpur,3854,4223,8077
2025-03,Dhubri,6765,1655,8420
2025-03,Dhule,5157,14043,19200
2025-03,Dibang Valley,15,41,56
2025-03,Dibrugarh,1444,2315,3759
2025-03,Dimapur,1135,2360,3495
2025-03,Dindigul,11793,18751,30544
2025-03,Dindori,2267,4844,7111
2025-03,Diu,249,170,419
2025-03,Doda,1793,2846,4639
2025-03,Dohad,192,1688,1880
2025-03,Dr. B. R. Ambedkar Konaseema,116,181,297
2025-03,Dumka,8376,6943,15319
2025-03,Dungarpur,3531,5204,8735
2025-03,Durg,2548,10749,13297
2025-03,East,419,583,1002
2025-03,East Champaran,13825,20084,33909
2025-03,East Delhi,4902,8233,13135
2025-03,East Garo Hills,75,363,438
2025-03,East Godavari,18286,11512,29798
2025-03,East Jaintia Hills,136,90,226
2025-03,East Kameng,189,244,433
2025-03,East Khasi Hills,840,1744,2584
2025-03,East Midnapore,780,1639,2419
2025-03,East Nimar,886,3438,4324
2025-03,East Siang,134,131,265
2025-03,East Sikkim,401,231,632
2025-03,East Singhbhum,10278,11606,21884
2025-03,Eluru,171,308,479
2025-03,Ernakulam,5737,11380,17117
2025-03,Erode,8369,10427,18796
2025-03,Etah,6567,2532,9099
2025-03,Etawah,5882,2986,8868
2025-03,Faizabad,6944,3048,9992
2025-03,Faridabad,5798,8083,13881
2025-03,Faridkot,1520,4835,6355
2025-03,Farrukhabad,4804,1844,6648
2025-03,Fatehabad,3580,6150,9730
2025-03,Fatehgarh Sahib,1538,3229,4767
2025-03,Fatehpur,7881,6783,14664
2025-03,Fazilka,3247,5534,8781
2025-03,Ferozepur,3385,6515,9900
2025-03,Firozabad,8402,3036,11438
2025-03,Firozpur,227,1879,2106
2025-03,Gadag,3169,2227,5396
2025-03,Gadag *,70,106,176
2025-03,Gadchiroli,2665,9929,12594
2025-03,Gajapati,2775,6864,9639
2025-03,Ganderbal,668,1163,1831
2025-03,Gandhinagar,4273,5905,10178
2025-03,Ganganagar,3617,7313,10930
2025-03,Ganjam,8753,15329,24082
2025-03,Garhwa,6945,10447,17392
2025-03,Garhwa *,77,822,899
2025-03,Gariyaband,471,1694,2165
2025-03,Gaurela-pendra-marwahi,11,105,116
2025-03,Gautam Buddha Nagar,6854,4672,11526
2025-03,Gaya,16486,21241,37727
2025-03,Ghaziabad,12856,9597,22453
2025-03,Ghazipur,10215,6490,16705
2025-03,Gir Somnath,2574,1707,4281
2025-03,Giridih,8203,10019,18222
2025-03,Goalpara,715,734,1449
2025-03,Godda,8171,6322,14493
2025-03,Golaghat,704,704,1408
2025-03,Gomati,2597,579,3176
2025-03,Gonda,15768,6152,21920
2025-03,Gondiya,4074,7263,11337
2025-03,Gopalganj,6451,7603,14054
2025-03,Gorakhpur,8891,12567,21458
2025-03,Gulbarga,2358,5141,7499
2025-03,Gumla,3986,6975,10961
2025-03,Guna,8594,5775,14369
2025-03,Guntur,19655,11604,31259
2025-03,Gurdaspur,4892,12578,17470
2025-03,Gurgaon,3789,4611,8400
2025-03,Gwalior,7276,7161,14437
2025-03,Hailakandi,355,439,794
2025-03,Hamirpur,5401,4435,9836
2025-03,Hanumakonda,130,643,773
2025-03,Hanumangarh,4108,7451,11559
2025-03,Haora,498,2469,2967
2025-03,Hapur,4968,1618,6586
2025-03,Harda,2514,2489,5003
2025-03,Harda *,193,933,1126
2025-03,Hardoi,19747,6420,26167
2025-03,Haridwar,3420,4653,8073
2025-03,Hasan,216,748,964
2025-03,Hassan,2862,2564,5426
2025-03,Hathras,8153,2125,10278
2025-03,Haveri,7079,3681,10760
2025-03,Haveri *,83,114,197
2025-03,Hazaribag,234,809,1043
2025-03,Hazaribagh,6244,5370,11614
2025-03,Hingoli,2200,5880,8080
2025-03,Hisar,4202,7560,11762
2025-03,Hojai,1585,1239,2824
2025-03,Hooghly,7013,10405,17418
2025-03,Hoshangabad,4135,6141,10276
2025-03,Hoshiarpur,3501,9848,13349
2025-03,Howrah,4193,7513,11706
2025-03,Hyderabad,12405,22050,34455
2025-03,Idukki,1958,3567,5525
2025-03,Imphal East,1000,1623,2623
2025-03,Imphal West,906,1352,2258
2025-03,Indore,11298,10515,21813
2025-03,JAJPUR,1668,3038,4706
2025-03,Jabalpur,6187,7925,14112
2025-03,Jagatsinghapur,1782,4056,5838
2025-03,Jagatsinghpur,146,962,1108
2025-03,Jagitial,403,539,942
2025-03,Jaipur,15224,25583,40807
2025-03,Jaisalmer,2386,2760,5146
2025-03,Jajapur,2855,5288,8143
2025-03,Jalandhar,7894,16001,23895
2025-03,Jalaun,6876,3593,10469
2025-03,Jalgaon,11108,29512,40620
2025-03,Jalna,5388,11402,16790
2025-03,Jalor,3576,6046,9622
2025-03,Jalpaiguri,3347,5581,8928
2025-03,Jammu,3883,7915,11798
2025-03,Jamnagar,4794,5215,10009
2025-03,Jamtara,2625,3787,6412
2025-03,Jamui,6531,6134,12665
2025-03,Jangoan,133,281,414
2025-03,Janjgir-champa,2728,10158,12886
2025-03,Jashpur,823,3469,4292
2025-03,Jaunpur,11173,8584,19757
2025-03,Jayashankar Bhupalpally,95,268,363
2025-03,Jehanabad,2391,4017,6408
2025-03,Jhabua,2387,6541,8928
2025-03,Jhajjar,2471,3813,6284
2025-03,Jhalawar,3336,4640,7976
2025-03,Jhansi,7879,4859,12738
2025-03,Jhargram,87,235,322
2025-03,Jharsuguda,1279,1994,3273
2025-03,Jhunjhunu,11,87,98
2025-03,Jhunjhunun,4267,8569,12836
2025-03,Jind,3562,7112,10674
2025-03,Jiribam,20,229,249
2025-03,Jodhpur,11211,13776,24987
2025-03,Jogulamba Gadwal,687,669,1356
2025-03,Jorhat,867,571,1438
2025-03,Junagadh,3500,8433,11933
2025-03,K.v. Rangareddy,10800,15669,26469
2025-03,Kabeerdham,407,1250,1657
2025-03,Kachchh,9380,6902,16282
2025-03,Kaimur (Bhabua),6479,7450,13929
2025-03,Kaithal,3091,6501,9592
2025-03,Kakching,49,30,79
2025-03,Kakinada,203,317,520
2025-03,Kalaburagi,4847,3255,8102
2025-03,Kalahandi,5546,11235,16781
2025-03,Kalimpong,24,17,41
2025-03,Kallakurichi,505,300,805
2025-03,Kamareddy,511,695,1206
2025-03,Kamrup,2602,1197,3799
2025-03,Kamrup Metro,1936,1525,3461
2025-03,Kancheepuram,14511,13965,28476
2025-03,Kandhamal,3687,6796,10483
2025-03,Kangra,5235,7358,12593
2025-03,Kanker,547,2455,3002
2025-03,Kannauj,5073,2306,7379
2025-03,Kanniyakumari,2040,5557,7597
2025-03,Kannur,4097,6968,11065
2025-03,Kanpur Dehat,6381,2358,8739
2025-03,Kanpur Nagar,9586,8989,18575
2025-03,Kanyakumari,1209,944,2153
2025-03,Kapurthala,2175,6472,8647
2025-03,Karaikal,314,1019,1333
2025-03,Karauli,3639,4685,8324
2025-03,Karbi Anglong,1984,1047,3031
2025-03,Kargil,481,408,889
2025-03,Karim Nagar,26,117,143
2025-03,Karimganj,963,859,1822
2025-03,Karimnagar,5898,10060,15958
2025-03,Karnal,3424,8201,11625
2025-03,Karur,4830,3790,8620
2025-03,Kasaragod,3272,3496,6768
2025-03,Kasargod,14,64,78
2025-03,Kasganj,5037,2259,7296
2025-03,Kathua,1736,2985,4721
2025-03,Katihar,16676,16958,33634
2025-03,Katni,3239,8903,12142
2025-03,Kaushambi,8156,2174,10330
2025-03,Kawardha,712,3363,4075
2025-03,Kendrapara,4036,7247,11283
2025-03,Kendujhar,6124,11611,17735
2025-03,Khagaria,6128,6877,13005
2025-03,Khammam,3548,4895,8443
2025-03,Khandwa,3295,2578,5873
2025-03,Khargone,8855,11255,20110
2025-03,Kheda,6929,10058,16987
2025-03,Kheri,19945,6925,26870
2025-03,Khorda,4603,7484,12087
2025-03,Khordha,376,2204,2580
2025-03,Khowai,1656,412,2068
2025-03,Khunti,2118,3257,5375
2025-03,Kinnaur,145,250,395
2025-03,Kiphire,173,388,561
2025-03,Kishanganj,7612,8682,16294
2025-03,Kishtwar,1049,1570,2619
2025-03,Koch Bihar,217,814,1031
2025-03,Kodagu,677,1164,1841
2025-03,Kodarma,224,599,823
2025-03,Koderma,2935,3451,6386
2025-03,Kohima,298,1799,2097
2025-03,Kokrajhar,3407,873,4280
2025-03,Kolar,3153,4871,8024
2025-03,Kolasib,3984,962,4946
2025-03,Kolhapur,9588,18096,27684
2025-03,Kolkata,2706,7920,10626
2025-03,Kollam,4871,8548,13419
2025-03,Komaram Bheem,285,610,895
2025-03,Kondagaon,472,2224,2696
2025-03,Koppal,3016,3348,6364
2025-03,Koraput,7961,12426,20387
2025-03,Korba,5729,6814,12543
2025-03,Koriya,860,3347,4207
2025-03,Kota,4421,6301,10722
2025-03,Kottayam,2277,4982,7259
2025-03,Kozhikode,5544,7757,13301
2025-03,Kra Daadi,75,122,197
2025-03,Krishna,16816,9887,26703
2025-03,Krishnagiri,11740,5748,17488
2025-03,Kulgam,1420,2071,3491
2025-03,Kullu,1231,1459,2690
2025-03,Kupwara,1999,3376,5375
2025-03,Kurnool,27662,10576,38238
2025-03,Kurukshetra,2920,6507,9427
2025-03,Kurung Kumey,93,536,629
2025-03,Kushinagar,8077,7631,15708
2025-03,Lakhimpur,1470,1353,2823
2025-03,Lakhisarai,3715,3972,7687
2025-03,Lakshadweep,198,227,425
2025-03,Lalitpur,3811,3785,7596
2025-03,Latehar,4341,3293,7634
2025-03,Latur,9558,19388,28946
2025-03,Lawngtlai,3058,915,3973
2025-03,Leh,384,407,791
2025-03,Lohardaga,2355,4669,7024
2025-03,Lohit,100,364,464
2025-03,Longding,133,129,262
2025-03,Longleng,98,398,496
2025-03,Lower Dibang Valley,80,117,197
2025-03,Lower Siang,26,12,38
2025-03,Lower Subansiri,81,128,209
2025-03,Lucknow,13425,10231,23656
2025-03,Ludhiana,11042,18144,29186
2025-03,Lunglei,4383,1393,5776
2025-03,Madhepura,6355,11462,17817
2025-03,Madhubani,16996,20887,37883
2025-03,Madurai,14305,17159,31464
2025-03,Mahabub Nagar,45,269,314
2025-03,Mahabubabad,278,565,843
2025-03,Mahabubnagar,10634,11582,22216
2025-03,Maharajganj,5914,5062,10976
2025-03,Mahasamund,1257,5727,6984
2025-03,Mahbubnagar,274,1114,1388
2025-03,Mahendragarh,1721,3292,5013
2025-03,Mahesana,5066,7773,12839
2025-03,Mahisagar,1999,1808,3807
2025-03,Mahoba,3781,1770,5551
2025-03,Mainpuri,3971,2801,6772
2025-03,Majuli,343,101,444
2025-03,Malappuram,10776,12728,23504
2025-03,Malda,3983,6256,10239
2025-03,Maldah,312,969,1281
2025-03,Malerkotla,461,1009,1470
2025-03,Malkangiri,6053,3896,9949
2025-03,Mamit,4019,633,4652
2025-03,Mammit,903,417,1320
2025-03,Mancherial,264,688,952
2025-03,Mandi,3777,4936,8713
2025-03,Mandla,3181,4150,7331
2025-03,Mandsaur,5021,6824,11845
2025-03,Mandya,2412,4580,6992
2025-03,Mansa,2450,7771,10221
2025-03,Marigaon,2305,1218,3523
2025-03,Mathura,9952,4171,14123
2025-03,Mau,7060,4125,11185
2025-03,Mayiladuthurai,705,134,839
2025-03,Mayurbhanj,8491,14166,22657
2025-03,Medak,5296,7637,12933
2025-03,Medchal-malkajgiri,1239,2810,4049
2025-03,Medchal?malkajgiri,484,365,849
2025-03,Meerut,17856,6926,24782
2025-03,Mewat,2592,2905,5497
2025-03,Mirzapur,9012,4430,13442
2025-03,Moga,2894,5865,8759
2025-03,Mohla-Manpur-Ambagarh Chouki,22,123,145
2025-03,Mokokchung,161,533,694
2025-03,Mon,652,1189,1841
2025-03,Moradabad,13376,6120,19496
2025-03,Morbi,2220,1289,3509
2025-03,Morena,13912,6993,20905
2025-03,Muktsar,71,1137,1208
2025-03,Mulugu,89,190,279
2025-03,Mumbai,7636,31432,39068
2025-03,Mumbai City,1936,2517,4453
2025-03,Mumbai Suburban,7347,9473,16820
2025-03,Mungeli,936,2497,3433
2025-03,Munger,3099,4705,7804
2025-03,Murshidabad,8679,14109,22788
2025-03,Muzaffarnagar,16292,5670,21962
2025-03,Muzaffarpur,13651,18161,31812
2025-03,Mysore,1431,4861,6292
2025-03,Mysuru,2850,3420,6270
2025-03,N. T. R,380,740,1120
2025-03,Nabarangapur,6051,8542,14593
2025-03,Nadia,5652,9904,15556
2025-03,Nagaon,3208,5081,8289
2025-03,Nagapattinam,5493,5038,10531
2025-03,Nagarkurnool,523,659,1182
2025-03,Nagaur,7715,12792,20507
2025-03,Nagpur,11511,30242,41753
2025-03,Nainital,2496,3088,5584
2025-03,Najafgarh,12,183,195
2025-03,Nalanda,6154,11926,18080
2025-03,Nalbari,2028,335,2363
2025-03,Nalgonda,6216,8392,14608
2025-03,Namakkal,6014,9340,15354
2025-03,Namsai,213,274,487
2025-03,Nanded,14793,23918,38711
2025-03,Nandurbar,5201,12240,17441
2025-03,Nandyal,283,280,563
2025-03,Narayanpet,236,356,592
2025-03,Narayanpur,504,1544,2048
2025-03,Narmada,2020,4588,6608
2025-03,Narmadapuram,167,686,853
2025-03,Narsimhapur,135,552,687
2025-03,Narsinghpur,2155,2658,4813
2025-03,Nashik,19311,43604,62915
2025-03,Navsari,2369,2679,5048
2025-03,Nawada,6780,9577,16357
2025-03,Nayagarh,2705,5418,8123
2025-03,Neemuch,2497,2092,4589
2025-03,Nellore,5113,6240,11353
2025-03,New Delhi,392,294,686
2025-03,Nicobar,178,101,279
2025-03,Nirmal,270,435,705
2025-03,Niuland,14,46,60
2025-03,Niwari,158,132,290
2025-03,Nizamabad,5670,6849,12519
2025-03,Noklak,16,59,75
2025-03,North,22,28,50
2025-03,North 24 Parganas,9230,15858,25088
2025-03,North And Middle Andaman,470,347,817
2025-03,North Cachar Hills,79,104,183
2025-03,North Delhi,2600,4493,7093
2025-03,North East,238,4421,4659
2025-03,North East Delhi,7096,6613,13709
2025-03,North Garo Hills,79,75,154
2025-03,North Goa,1883,2559,4442
2025-03,North Sikkim,60,35,95
2025-03,North Tripura,5036,4245,9281
2025-03,North Twenty Four Parganas,263,1206,1469
2025-03,North West Delhi,15709,29195,44904
2025-03,Nuapada,1333,4485,5818
2025-03,Osmanabad,7315,10669,17984
2025-03,Pakaur,269,284,553
2025-03,Pakke Kessang,12,6,18
2025-03,Pakur,4065,3049,7114
2025-03,Palakkad,8738,11823,20561
2025-03,Palamau,84,388,472
2025-03,Palamu,9446,10392,19838
2025-03,Palghar,7288,7628,14916
2025-03,Pali,4219,10985,15204
2025-03,Palnadu,293,311,604
2025-03,Palwal,2662,3033,5695
2025-03,Panchkula,1692,2763,4455
2025-03,Panchmahals,3743,9258,13001
2025-03,Panipat,3293,6275,9568
2025-03,Panna,4877,8614,13491
2025-03,Papum Pare,345,717,1062
2025-03,Parbhani,9812,10952,20764
2025-03,Parvathipuram Manyam,362,487,849
2025-03,Paschim Bardhaman,346,929,1275
2025-03,Paschim Medinipur,5732,7923,13655
2025-03,Pashchimi Singhbhum,751,1529,2280
2025-03,Patan,3086,4716,7802
2025-03,Pathanamthitta,1645,4606,6251
2025-03,Pathankot,1191,1950,3141
2025-03,Patiala,4526,11533,16059
2025-03,Patna,11916,18174,30090
2025-03,Pauri Garhwal,1213,1926,3139
2025-03,Peddapalli,147,495,642
2025-03,Perambalur,5086,2259,7345
2025-03,Peren,256,488,744
2025-03,Phek,147,1487,1634
2025-03,Pilibhit,11998,5632,17630
2025-03,Pithoragarh,1083,1920,3003
2025-03,Pondicherry,299,1978,2277
2025-03,Porbandar,1770,2266,4036
2025-03,Prakasam,11991,7242,19233
2025-03,Pratapgarh,10147,11169,21316
2025-03,Prayagraj,851,1068,1919
2025-03,Puducherry,898,1420,2318
2025-03,Pudukkottai,6620,9806,16426
2025-03,Pulwama,885,1881,2766
2025-03,Punch,2451,4790,7241
2025-03,Pune,23546,42545,66091
2025-03,Purba Bardhaman,473,998,1471
2025-03,Purba Medinipur,6008,7608,13616
2025-03,Purbi Singhbhum,917,2737,3654
2025-03,Puri,3549,6672,10221
2025-03,Purnea,112,435,547
2025-03,Purnia,13497,17552,31049
2025-03,Purulia,54,121,175
2025-03,Puruliya,2885,5522,8407
2025-03,Rae Bareli,11031,5260,16291
2025-03,Raichur,4424,6106,10530
2025-03,Raigad,254,1097,1351
2025-03,Raigarh,8552,16389,24941
2025-03,Raipur,2737,9682,12419
2025-03,Raisen,3285,5491,8776
2025-03,Rajanna Sircilla,302,440,742
2025-03,Rajgarh,10071,14023,24094
2025-03,Rajkot,9086,10727,19813
2025-03,Rajnandgaon,1554,9521,11075
2025-03,Rajouri,2947,5630,8577
2025-03,Rajsamand,3393,3074,6467
2025-03,Ramanagar,1433,2586,4019
2025-03,Ramanathapuram,6244,7260,13504
2025-03,Ramban,1146,1352,2498
2025-03,Ramgarh,2636,2897,5533
2025-03,Rampur,12017,3938,15955
2025-03,Ranchi,11510,23635,35145
2025-03,Rangareddi,1114,5136,6250
2025-03,Rangareddy,71,282,353
2025-03,Ranipet,12,16,28
2025-03,Ratlam,4993,5623,10616
2025-03,Ratnagiri,3235,8969,12204
2025-03,Rayagada,2910,6038,8948
2025-03,Reasi,1251,2395,3646
2025-03,Rewa,13084,10964,24048
2025-03,Rewari,2125,3098,5223
2025-03,Ri Bhoi,213,213,426
2025-03,Rohtak,2767,7186,9953
2025-03,Rohtas,7472,9366,16838
2025-03,Rudraprayag,770,1484,2254
2025-03,Rupnagar,1754,3993,5747
2025-03,S.A.S Nagar(Mohali),25,192,217
2025-03,SAS Nagar (Mohali),3420,3911,7331
2025-03,Sabarkantha,4116,6512,10628
2025-03,Sagar,10882,12949,23831
2025-03,Saharanpur,14541,8274,22815
2025-03,Saharsa,6272,12430,18702
2025-03,Sahebganj,6267,5248,11515
2025-03,Sahibganj,51,194,245
2025-03,Saiha,2273,344,2617
2025-03,Saitual,11,16,27
2025-03,Sakti,10,49,59
2025-03,Salem,24298,16744,41042
2025-03,Samastipur,13667,19484,33151
2025-03,Samba,529,825,1354
2025-03,Sambalpur,3200,4111,7311
2025-03,Sambhal,8038,2213,10251
2025-03,Sangareddy,905,938,1843
2025-03,Sangli,9383,16901,26284
2025-03,Sangrur,3540,7334,10874
2025-03,Sant Kabir Nagar,4902,4748,9650
2025-03,Sant Ravidas Nagar,5094,2850,7944
2025-03,Saran,7779,13089,20868
2025-03,Satara,8173,14177,22350
2025-03,Satna,7162,11270,18432
2025-03,Sawai Madhopur,3402,5584,8986
2025-03,Sehore,4438,8568,13006
2025-03,Senapati,722,1183,1905
2025-03,Seoni,5711,5702,11413
2025-03,Sepahijala,2920,1028,3948
2025-03,Seraikela-Kharsawan,4141,4263,8404
2025-03,Seraikela-kharsawan,600,1685,2285
2025-03,Serchhip,3036,1087,4123
2025-03,Shahdara,252,658,910
2025-03,Shahdol,3159,7894,11053
2025-03,Shaheed Bhagat Singh Nagar,1295,2340,3635
2025-03,Shahjahanpur,17984,4776,22760
2025-03,Shajapur,7862,8321,16183
2025-03,Shamli,8476,2838,11314
2025-03,Sheikhpura,1885,3455,5340
2025-03,Sheohar,1803,3248,5051
2025-03,Sheopur,3043,3816,6859
2025-03,Shi-yomi,14,12,26
2025-03,Shimla,2185,2872,5057
2025-03,Shimoga,585,2034,2619
2025-03,Shivamogga,1755,1463,3218
2025-03,Shivpuri,9627,7104,16731
2025-03,Shrawasti,4999,3310,8309
2025-03,Shupiyan,693,1169,1862
2025-03,Siang,54,63,117
2025-03,Sibsagar,801,310,1111
2025-03,Siddharthnagar,8772,4202,12974
2025-03,Siddipet,303,420,723
2025-03,Sidhi,12873,7426,20299
2025-03,Sikar,7418,12553,19971
2025-03,Simdega,2855,5188,8043
