district,year_month,demand_total,mom_growth
Akola,2025-02,297,-0.6833688699360341
Akola,2025-03,136,-0.5420875420875421
Akola,2025-04,99,-0.2720588235294118
Akola,2025-05,80,-0.19191919191919193
Akola,2025-06,49,-0.38749999999999996
Akola,2025-07,76,0.5510204081632653
Akola,2025-08,211,1.776315789473684
Akola,2025-09,173,-0.1800947867298578
Akola,2025-10,174,0.005780346820809301
Akola,2025-11,171,-0.017241379310344862
Akola,2025-12,170,-0.005847953216374324
Alappuzha,2025-01,68,
Alappuzha,2025-02,227,2.338235294117647
Alappuzha,2025-03,92,-0.5947136563876652
Alappuzha,2025-04,7,-0.9239130434782609
Alappuzha,2025-05,115,15.428571428571427
Alappuzha,2025-06,49,-0.5739130434782609
Alappuzha,2025-07,42,-0.1428571428571429
Alappuzha,2025-08,142,2.380952380952381
Alappuzha,2025-09,159,0.11971830985915499
Alappuzha,2025-10,167,0.05031446540880502
Alappuzha,2025-11,161,-0.0359281437125748
Alappuzha,2025-12,111,-0.31055900621118016
Aligarh,2025-01,18743,
Aligarh,2025-02,732,-0.960945419623326
Aligarh,2025-03,383,-0.47677595628415304
Aligarh,2025-04,308,-0.19582245430809397
Aligarh,2025-05,404,0.3116883116883118
Aligarh,2025-06,548,0.35643564356435653
Aligarh,2025-07,232,-0.5766423357664234
Aligarh,2025-08,421,0.8146551724137931
Aligarh,2025-09,698,0.6579572446555819
Aligarh,2025-10,640,-0.08309455587392545
Aligarh,2025-11,352,-0.44999999999999996
Aligarh,2025-12,552,0.5681818181818181
Alipurduar,2025-01,3521,
Alipurduar,2025-02,54,-0.9846634478841239
Alipurduar,2025-03,38,-0.2962962962962963
Alipurduar,2025-04,19,-0.5
Alipurduar,2025-05,31,0.631578947368421
Alipurduar,2025-06,40,0.29032258064516125
Alipurduar,2025-07,19,-0.525
Alipurduar,2025-08,46,1.4210526315789473
Alipurduar,2025-09,69,0.5
Alipurduar,2025-10,62,-0.10144927536231885
Alipurduar,2025-11,36,-0.4193548387096774
Alipurduar,2025-12,55,0.5277777777777777
Alirajpur,2025-01,4014,
Alirajpur,2025-02,333,-0.9170403587443946
Alirajpur,2025-03,115,-0.6546546546546547
Alirajpur,2025-04,103,-0.10434782608695647
Alirajpur,2025-05,97,-0.058252427184465994
Alirajpur,2025-06,94,-0.030927835051546393
Alirajpur,2025-07,57,-0.3936170212765957
Alirajpur,2025-08,150,1.6315789473684212
Alirajpur,2025-09,165,0.10000000000000009
Alirajpur,2025-10,165,0.0
Alirajpur,2025-11,139,-0.1575757575757576
Alirajpur,2025-12,148,0.06474820143884896
Allahabad,2025-01,443,
Allahabad,2025-02,821,0.8532731376975169
Allahabad,2025-03,541,-0.34104750304506704
Allahabad,2025-04,338,-0.3752310536044362
Allahabad,2025-05,576,0.7041420118343196
Allahabad,2025-06,481,-0.16493055555555558
Allahabad,2025-07,290,-0.39708939708939706
Allahabad,2025-08,504,0.7379310344827585
Allahabad,2025-09,644,0.2777777777777777
Allahabad,2025-10,763,0.1847826086956521
Allahabad,2025-11,464,-0.3918741808650066
Allahabad,2025-12,589,0.2693965517241379
Alluri Sitharama Raju,2025-01,20,
Alluri Sitharama Raju,2025-02,43,1.15
Alluri Sitharama Raju,2025-03,40,-0.06976744186046513
Alluri Sitharama Raju,2025-04,15,-0.625
Alluri Sitharama Raju,2025-05,63,3.2
Alluri Sitharama Raju,2025-06,38,-0.39682539682539686
Alluri Sitharama Raju,2025-07,39,0.026315789473684292
Alluri Sitharama Raju,2025-08,43,0.10256410256410264
Alluri Sitharama Raju,2025-09,35,-0.18604651162790697
Alluri Sitharama Raju,2025-10,50,0.4285714285714286
Alluri Sitharama Raju,2025-11,46,-0.07999999999999996
Alluri Sitharama Raju,2025-12,50,0.08695652173913038
Almora,2025-01,18,
Almora,2025-02,54,2.0
Almora,2025-03,46,-0.14814814814814814
Almora,2025-04,27,-0.4130434782608695
Almora,2025-05,30,0.11111111111111116
Almora,2025-06,55,0.8333333333333333
Almora,2025-07,23,-0.5818181818181818
Almora,2025-08,72,2.130434782608696
Almora,2025-09,73,0.01388888888888884
Almora,2025-10,77,0.0547945205479452
Almora,2025-11,45,-0.4155844155844156
Almora,2025-12,34,-0.24444444444444446
Alwar,2025-01,7945,
Alwar,2025-02,828,-0.8957835116425424
Alwar,2025-03,662,-0.20048309178743962
Alwar,2025-04,562,-0.15105740181268879
Alwar,2025-05,684,0.2170818505338079
Alwar,2025-06,765,0.11842105263157898
Alwar,2025-07,324,-0.5764705882352941
Alwar,2025-08,903,1.7870370370370372
Alwar,2025-09,778,-0.1384274640088593
Alwar,2025-10,949,0.21979434447300772
Alwar,2025-11,618,-0.34878819810326656
Alwar,2025-12,720,0.16504854368932032
Ambala,2025-01,423,
Ambala,2025-02,123,-0.7092198581560284
Ambala,2025-03,47,-0.6178861788617886
Ambala,2025-04,18,-0.6170212765957447
Ambala,2025-05,100,4.555555555555555
Ambala,2025-06,70,-0.30000000000000004
Ambala,2025-07,47,-0.3285714285714286
Ambala,2025-08,128,1.7234042553191489
Ambala,2025-09,132,0.03125
Ambala,2025-10,126,-0.045454545454545414
Ambala,2025-11,108,-0.1428571428571429
Ambala,2025-12,103,-0.04629629629629628
Ambedkar Nagar,2025-01,747,
Ambedkar Nagar,2025-02,443,-0.40696117804551535
Ambedkar Nagar,2025-03,350,-0.20993227990970653
Ambedkar Nagar,2025-04,197,-0.43714285714285717
Ambedkar Nagar,2025-05,252,0.2791878172588833
Ambedkar Nagar,2025-06,258,0.023809523809523725
Ambedkar Nagar,2025-07,121,-0.5310077519379846
Ambedkar Nagar,2025-08,320,1.6446280991735538
Ambedkar Nagar,2025-09,356,0.11250000000000004
Ambedkar Nagar,2025-10,392,0.101123595505618
Ambedkar Nagar,2025-11,296,-0.24489795918367352
Ambedkar Nagar,2025-12,297,0.0033783783783782884
Amethi,2025-01,244,
Amethi,2025-02,412,0.6885245901639345
Amethi,2025-03,317,-0.23058252427184467
Amethi,2025-04,209,-0.34069400630914826
Amethi,2025-05,178,-0.14832535885167464
Amethi,2025-06,240,0.348314606741573
Amethi,2025-07,119,-0.5041666666666667
Amethi,2025-08,304,1.5546218487394956
Amethi,2025-09,364,0.19736842105263164
Amethi,2025-10,393,0.07967032967032961
Amethi,2025-11,240,-0.3893129770992366
Amethi,2025-12,356,0.4833333333333334
Amravati,2025-01,1530,
Amravati,2025-02,360,-0.7647058823529411
Amravati,2025-03,140,-0.6111111111111112
Amravati,2025-04,124,-0.11428571428571432
Amravati,2025-05,112,-0.09677419354838712
Amravati,2025-06,84,-0.25
Amravati,2025-07,73,-0.13095238095238093
Amravati,2025-08,267,2.6575342465753424
Amravati,2025-09,289,0.08239700374531833
Amravati,2025-10,288,-0.0034602076124568004
Amravati,2025-11,246,-0.14583333333333337
Amravati,2025-12,220,-0.10569105691056913
Amreli,2025-01,1446,
Amreli,2025-02,157,-0.8914246196403872
Amreli,2025-03,121,-0.2292993630573248
Amreli,2025-04,73,-0.39669421487603307
Amreli,2025-05,30,-0.589041095890411
Amreli,2025-06,89,1.9666666666666668
Amreli,2025-07,47,-0.4719101123595506
Amreli,2025-08,131,1.7872340425531914
Amreli,2025-09,150,0.1450381679389312
Amreli,2025-10,147,-0.020000000000000018
Amreli,2025-11,135,-0.08163265306122447
Amreli,2025-12,142,0.051851851851851816
Amritsar,2025-01,5627,
Amritsar,2025-02,452,-0.9196730051537231
Amritsar,2025-03,113,-0.75
Amritsar,2025-04,92,-0.18584070796460173
Amritsar,2025-05,277,2.010869565217391
Amritsar,2025-06,232,-0.16245487364620936
Amritsar,2025-07,61,-0.7370689655172413
Amritsar,2025-08,265,3.3442622950819674
Amritsar,2025-09,321,0.21132075471698109
Amritsar,2025-10,282,-0.12149532710280375
Amritsar,2025-11,215,-0.23758865248226946
Amritsar,2025-12,194,-0.0976744186046512
Amroha,2025-01,1689,
Amroha,2025-02,390,-0.7690941385435168
Amroha,2025-03,265,-0.3205128205128205
Amroha,2025-04,170,-0.3584905660377359
Amroha,2025-05,213,0.2529411764705882
Amroha,2025-06,213,0.0
Amroha,2025-07,143,-0.32863849765258213
Amroha,2025-08,302,1.111888111888112
Amroha,2025-09,244,-0.1920529801324503
Amroha,2025-10,428,0.7540983606557377
Amroha,2025-11,236,-0.44859813084112155
Amroha,2025-12,216,-0.0847457627118644
Anakapalli,2025-01,18,
Anakapalli,2025-02,22,0.22222222222222232
Anakapalli,2025-03,24,0.09090909090909083
Anakapalli,2025-04,11,-0.5416666666666667
Anakapalli,2025-05,8,-0.2727272727272727
Anakapalli,2025-06,19,1.375
Anakapalli,2025-07,7,-0.631578947368421
Anakapalli,2025-08,16,1.2857142857142856
Anakapalli,2025-09,22,0.375
Anakapalli,2025-10,19,-0.13636363636363635
Anakapalli,2025-11,18,-0.052631578947368474
Anakapalli,2025-12,11,-0.38888888888888884
Anand,2025-01,2481,
Anand,2025-02,240,-0.9032648125755743
Anand,2025-03,176,-0.2666666666666667
Anand,2025-04,66,-0.625
Anand,2025-05,62,-0.06060606060606055
Anand,2025-06,96,0.5483870967741935
Anand,2025-07,43,-0.5520833333333333
Anand,2025-08,223,4.186046511627907
Anand,2025-09,255,0.1434977578475336
Anand,2025-10,217,-0.14901960784313728
Anand,2025-11,212,-0.02304147465437789
Anand,2025-12,231,0.08962264150943389
Anantapur,2025-01,140,
Anantapur,2025-02,259,0.8500000000000001
Anantapur,2025-03,190,-0.26640926640926643
Anantapur,2025-04,84,-0.5578947368421052
Anantapur,2025-05,147,0.75
Anantapur,2025-06,178,0.2108843537414966
Anantapur,2025-07,97,-0.4550561797752809
Anantapur,2025-08,182,0.8762886597938144
Anantapur,2025-09,136,-0.25274725274725274
Anantapur,2025-10,130,-0.044117647058823484
Anantapur,2025-11,169,0.30000000000000004
Anantapur,2025-12,155,-0.08284023668639051
Ananthapur,2025-01,49,
Ananthapur,2025-02,89,0.8163265306122449
Ananthapur,2025-03,54,-0.3932584269662921
Ananthapur,2025-04,27,-0.5
Ananthapur,2025-05,62,1.2962962962962963
Ananthapur,2025-06,74,0.19354838709677424
Ananthapur,2025-07,38,-0.4864864864864865
Ananthapur,2025-08,69,0.8157894736842106
Ananthapur,2025-09,68,-0.01449275362318836
Ananthapur,2025-10,57,-0.16176470588235292
Ananthapur,2025-11,54,-0.052631578947368474
Ananthapur,2025-12,73,0.35185185185185186
Ananthapuramu,2025-01,77,
Ananthapuramu,2025-02,148,0.922077922077922
Ananthapuramu,2025-03,138,-0.06756756756756754
Ananthapuramu,2025-04,65,-0.5289855072463768
Ananthapuramu,2025-05,109,0.676923076923077
Ananthapuramu,2025-06,97,-0.11009174311926606
Ananthapuramu,2025-07,54,-0.44329896907216493
Ananthapuramu,2025-08,120,1.2222222222222223
Ananthapuramu,2025-09,77,-0.3583333333333333
Ananthapuramu,2025-10,99,0.2857142857142858
Ananthapuramu,2025-11,92,-0.07070707070707072
Ananthapuramu,2025-12,104,0.13043478260869557
Anantnag,2025-01,240,
Anantnag,2025-02,356,0.4833333333333334
Anantnag,2025-03,62,-0.8258426966292135
Anantnag,2025-04,94,0.5161290322580645
Anantnag,2025-05,206,1.1914893617021276
Anantnag,2025-06,132,-0.35922330097087374
Anantnag,2025-07,94,-0.28787878787878785
Anantnag,2025-08,262,1.7872340425531914
Anantnag,2025-09,338,0.29007633587786263
Anantnag,2025-10,324,-0.041420118343195256
Anantnag,2025-11,278,-0.14197530864197527
Anantnag,2025-12,76,-0.7266187050359711
Andamans,2025-01,4,
Andamans,2025-02,1,-0.75
Andamans,2025-04,4,3.0
Andamans,2025-09,5,0.25
Andamans,2025-11,4,-0.19999999999999996
Andamans,2025-12,1,-0.75
Angul,2025-01,230,
Angul,2025-02,286,0.24347826086956514
Angul,2025-03,296,0.034965034965035
Angul,2025-04,172,-0.41891891891891897
Angul,2025-05,180,0.04651162790697683
Angul,2025-06,288,0.6000000000000001
Angul,2025-07,80,-0.7222222222222222
Angul,2025-08,324,3.05
Angul,2025-09,300,-0.07407407407407407
Angul,2025-10,270,-0.09999999999999998
Angul,2025-11,260,-0.03703703703703709
Angul,2025-12,238,-0.08461538461538465
Anjaw,2025-01,3,
Anjaw,2025-03,5,0.6666666666666667
Anjaw,2025-05,4,-0.19999999999999996
Anjaw,2025-06,3,-0.25
Anjaw,2025-08,4,0.33333333333333326
Anjaw,2025-11,3,-0.25
Anjaw,2025-12,1,-0.6666666666666667
Annamayya,2025-01,16,
Annamayya,2025-02,63,2.9375
Annamayya,2025-03,27,-0.5714285714285714
Annamayya,2025-04,30,0.11111111111111116
Annamayya,2025-05,55,0.8333333333333333
Annamayya,2025-06,28,-0.49090909090909096
Annamayya,2025-07,16,-0.4285714285714286
Annamayya,2025-08,36,1.25
Annamayya,2025-09,39,0.08333333333333326
Annamayya,2025-10,46,0.17948717948717952
Annamayya,2025-11,28,-0.3913043478260869
Annamayya,2025-12,40,0.4285714285714286
Anugul,2025-01,44,
Anugul,2025-02,32,-0.2727272727272727
Anugul,2025-03,14,-0.5625
Anugul,2025-04,6,-0.5714285714285714
Anugul,2025-05,14,1.3333333333333335
Anugul,2025-06,18,0.2857142857142858
Anugul,2025-07,8,-0.5555555555555556
Anugul,2025-08,20,1.5
Anugul,2025-09,20,0.0
Anugul,2025-10,20,0.0
Anugul,2025-11,6,-0.7
Anugul,2025-12,32,4.333333333333333
Anuppur,2025-01,35,
Anuppur,2025-02,246,6.0285714285714285
Anuppur,2025-03,82,-0.6666666666666667
Anuppur,2025-04,40,-0.5121951219512195
Anuppur,2025-05,113,1.8250000000000002
Anuppur,2025-06,96,-0.1504424778761062
Anuppur,2025-07,80,-0.16666666666666663
Anuppur,2025-08,177,1.2125
Anuppur,2025-09,153,-0.13559322033898302
Anuppur,2025-10,151,-0.013071895424836555
Anuppur,2025-11,120,-0.20529801324503316
Anuppur,2025-12,86,-0.2833333333333333
Araria,2025-01,3027,
Araria,2025-02,641,-0.7882391807069706
Araria,2025-03,369,-0.4243369734789392
Araria,2025-04,232,-0.3712737127371274
Araria,2025-05,510,1.1982758620689653
Araria,2025-06,526,0.031372549019607954
Araria,2025-07,212,-0.596958174904943
Araria,2025-08,554,1.6132075471698113
Araria,2025-09,375,-0.32310469314079426
Araria,2025-10,545,0.45333333333333337
Araria,2025-11,418,-0.23302752293577977
Araria,2025-12,392,-0.062200956937799035
Ariyalur,2025-01,93,
Ariyalur,2025-02,153,0.6451612903225807
Ariyalur,2025-03,135,-0.11764705882352944
Ariyalur,2025-04,43,-0.6814814814814815
Ariyalur,2025-05,86,1.0
Ariyalur,2025-06,66,-0.2325581395348837
Ariyalur,2025-07,42,-0.36363636363636365
Ariyalur,2025-08,92,1.1904761904761907
Ariyalur,2025-09,100,0.08695652173913038
Ariyalur,2025-10,89,-0.10999999999999999
Ariyalur,2025-11,97,0.0898876404494382
Ariyalur,2025-12,57,-0.41237113402061853
Arvalli,2025-01,1139,
Arvalli,2025-02,74,-0.9350307287093942
Arvalli,2025-03,43,-0.41891891891891897
Arvalli,2025-04,31,-0.2790697674418605
Arvalli,2025-05,11,-0.6451612903225806
Arvalli,2025-06,12,0.09090909090909083
Arvalli,2025-07,11,-0.08333333333333337
Arvalli,2025-08,88,7.0
Arvalli,2025-09,100,0.13636363636363646
Arvalli,2025-10,57,-0.43000000000000005
Arvalli,2025-11,81,0.42105263157894735
Arvalli,2025-12,74,-0.0864197530864198
Arwal,2025-01,1065,
Arwal,2025-02,185,-0.8262910798122065
Arwal,2025-03,81,-0.5621621621621622
Arwal,2025-04,80,-0.012345679012345734
Arwal,2025-05,94,0.17500000000000004
Arwal,2025-06,127,0.35106382978723394
Arwal,2025-07,53,-0.5826771653543308
Arwal,2025-08,212,3.0
Arwal,2025-09,162,-0.23584905660377353
Arwal,2025-10,138,-0.14814814814814814
Arwal,2025-11,112,-0.18840579710144922
Arwal,2025-12,116,0.03571428571428581
Ashok Nagar,2025-01,1174,
Ashok Nagar,2025-02,292,-0.7512776831345827
Ashok Nagar,2025-03,158,-0.45890410958904104
Ashok Nagar,2025-04,201,0.2721518987341771
Ashok Nagar,2025-05,144,-0.28358208955223885
Ashok Nagar,2025-06,184,0.2777777777777777
Ashok Nagar,2025-07,94,-0.48913043478260865
Ashok Nagar,2025-08,274,1.9148936170212765
Ashok Nagar,2025-09,236,-0.13868613138686137
Ashok Nagar,2025-10,385,0.6313559322033899
Ashok Nagar,2025-11,231,-0.4
Ashok Nagar,2025-12,236,0.02164502164502169
Ashoknagar,2025-01,4065,
Auraiya,2025-01,170,
Auraiya,2025-02,258,0.5176470588235293
Auraiya,2025-03,169,-0.34496124031007747
Auraiya,2025-04,123,-0.272189349112426
Auraiya,2025-05,108,-0.12195121951219512
Auraiya,2025-06,116,0.07407407407407418
Auraiya,2025-07,86,-0.2586206896551724
Auraiya,2025-08,167,0.941860465116279
Auraiya,2025-09,178,0.06586826347305386
Auraiya,2025-10,201,0.1292134831460674
Auraiya,2025-11,144,-0.28358208955223885
Auraiya,2025-12,158,0.09722222222222232
Aurangabad,2025-01,13708,
Aurangabad,2025-02,3064,-0.7764808870732419
Aurangabad,2025-03,1460,-0.5234986945169713
Aurangabad,2025-04,948,-0.3506849315068493
Aurangabad,2025-05,1726,0.8206751054852321
Aurangabad,2025-06,1298,-0.24797219003476245
Aurangabad,2025-07,924,-0.288135593220339
Aurangabad,2025-08,2120,1.2943722943722942
Aurangabad,2025-09,2082,-0.017924528301886844
Aurangabad,2025-10,2126,0.0211335254562921
Aurangabad,2025-11,1720,-0.19096895578551265
Aurangabad,2025-12,1600,-0.06976744186046513
Aurangabad(BH),2025-05,1,
Aurangabad(bh),2025-01,1,
Aurangabad(bh),2025-02,1,0.0
Aurangabad(bh),2025-03,7,6.0
Aurangabad(bh),2025-04,3,-0.5714285714285714
Aurangabad(bh),2025-05,9,2.0
Aurangabad(bh),2025-06,4,-0.5555555555555556
Aurangabad(bh),2025-07,1,-0.75
Aurangabad(bh),2025-08,8,7.0
Aurangabad(bh),2025-10,3,-0.625
Aurangabad(bh),2025-11,5,0.6666666666666667
Aurangabad(bh),2025-12,1,-0.8
Ayodhya,2025-01,952,
Ayodhya,2025-02,65,-0.9317226890756303
Ayodhya,2025-03,23,-0.6461538461538461
Ayodhya,2025-04,47,1.0434782608695654
Ayodhya,2025-05,24,-0.4893617021276596
Ayodhya,2025-06,43,0.7916666666666667
Ayodhya,2025-07,23,-0.4651162790697675
Ayodhya,2025-08,43,0.8695652173913044
Ayodhya,2025-09,46,0.06976744186046502
Ayodhya,2025-10,57,0.23913043478260865
Ayodhya,2025-11,45,-0.21052631578947367
Ayodhya,2025-12,46,0.022222222222222143
Azamgarh,2025-01,6811,
Azamgarh,2025-02,840,-0.8766700924974307
Azamgarh,2025-03,598,-0.28809523809523807
Azamgarh,2025-04,428,-0.28428093645484953
Azamgarh,2025-05,431,0.007009345794392496
Azamgarh,2025-06,633,0.46867749419953597
Azamgarh,2025-07,313,-0.5055292259083728
Azamgarh,2025-08,678,1.1661341853035143
Azamgarh,2025-09,653,-0.03687315634218291
Azamgarh,2025-10,775,0.18683001531393573
Azamgarh,2025-11,554,-0.28516129032258064
Azamgarh,2025-12,802,0.447653429602888
Badgam,2025-01,116,
Badgam,2025-02,192,0.6551724137931034
Badgam,2025-03,80,-0.5833333333333333
Badgam,2025-04,70,-0.125
Badgam,2025-05,138,0.9714285714285715
Badgam,2025-06,90,-0.34782608695652173
Badgam,2025-07,54,-0.4
Badgam,2025-08,192,2.5555555555555554
Badgam,2025-09,200,0.04166666666666674
Badgam,2025-10,168,-0.16000000000000003
Badgam,2025-11,122,-0.27380952380952384
Badgam,2025-12,38,-0.6885245901639344
Bagalkot,2025-01,261,
Bagalkot,2025-02,369,0.4137931034482758
Bagalkot,2025-03,238,-0.3550135501355014
Bagalkot,2025-04,171,-0.2815126050420168
Bagalkot,2025-05,111,-0.3508771929824561
Bagalkot,2025-06,235,1.1171171171171173
Bagalkot,2025-07,124,-0.4723404255319149
Bagalkot,2025-08,306,1.467741935483871
Bagalkot,2025-09,286,-0.065359477124183
Bagalkot,2025-10,350,0.22377622377622375
Bagalkot,2025-11,313,-0.10571428571428576
Bagalkot,2025-12,212,-0.3226837060702875
Bagalkot *,2025-01,5,
Bagalkot *,2025-02,14,1.7999999999999998
Bagalkot *,2025-03,16,0.1428571428571428
Bagalkot *,2025-04,7,-0.5625
Bagalkot *,2025-05,3,-0.5714285714285714
Bagalkot *,2025-06,14,3.666666666666667
Bagalkot *,2025-07,1,-0.9285714285714286
Bagalkot *,2025-08,5,4.0
Bagalkot *,2025-10,9,0.8
Bagalkot *,2025-11,8,-0.11111111111111116
Bagalkot *,2025-12,7,-0.125
Bageshwar,2025-01,11,
Bageshwar,2025-02,26,1.3636363636363638
Bageshwar,2025-03,31,0.1923076923076923
Bageshwar,2025-04,20,-0.3548387096774194
Bageshwar,2025-05,28,0.3999999999999999
Bageshwar,2025-06,18,-0.3571428571428571
Bageshwar,2025-07,8,-0.5555555555555556
Bageshwar,2025-08,30,2.75
Bageshwar,2025-09,45,0.5
Bageshwar,2025-10,36,-0.19999999999999996
Bageshwar,2025-11,31,-0.13888888888888884
Bageshwar,2025-12,16,-0.4838709677419355
Baghpat,2025-01,1833,
Baghpat,2025-02,313,-0.82924168030551
Baghpat,2025-03,169,-0.46006389776357826
Baghpat,2025-04,123,-0.272189349112426
Baghpat,2025-05,135,0.09756097560975618
Baghpat,2025-06,224,0.6592592592592592
Baghpat,2025-07,66,-0.7053571428571428
Baghpat,2025-08,205,2.106060606060606
Baghpat,2025-09,289,0.40975609756097553
Baghpat,2025-10,293,0.01384083044982698
Baghpat,2025-11,212,-0.2764505119453925
Baghpat,2025-12,224,0.05660377358490565
Bahraich,2025-01,30225,
Bahraich,2025-02,856,-0.9716790736145575
Bahraich,2025-03,705,-0.17640186915887845
Bahraich,2025-04,585,-0.17021276595744683
Bahraich,2025-05,571,-0.023931623931623958
Bahraich,2025-06,786,0.3765323992994747
Bahraich,2025-07,392,-0.5012722646310432
Bahraich,2025-08,829,1.114795918367347
Bahraich,2025-09,971,0.17129071170084442
Bahraich,2025-10,879,-0.0947476828012358
Bahraich,2025-11,632,-0.28100113765642776
Bahraich,2025-12,830,0.3132911392405062
Bajali,2025-01,4,
Bajali,2025-02,1,-0.75
Bajali,2025-05,1,0.0
Bajali,2025-06,3,2.0
Bajali,2025-08,1,-0.6666666666666667
Bajali,2025-10,1,0.0
Bajali,2025-12,4,3.0
Baksa,2025-01,1991,
