year_month,district,demand_enrolments,demand_updates,demand_total,bio_age_5_17,bio_age_17_plus,bio_total,monthly_capacity,request_capacity_ratio,delay_index,load_category
2025-10,Adilabad,120,42,162,9074.0,9697.0,18771.0,47840.0,0.003386287625418,LOW,festival
2025-10,Adilabad,120,42,162,9074.0,9697.0,18771.0,76960.0,0.0021049896049896,LOW,festival
2025-11,Adilabad,41,14,55,8603.0,8323.0,16926.0,47840.0,0.0011496655518394,LOW,festival
2025-11,Adilabad,41,14,55,8603.0,8323.0,16926.0,76960.0,0.0007146569646569,LOW,festival
2025-11,Adilabad,90,31,121,8603.0,8323.0,16926.0,47840.0,0.0025292642140468,LOW,festival
2025-11,Adilabad,90,31,121,8603.0,8323.0,16926.0,76960.0,0.0015722453222453,LOW,festival
2025-12,Adilabad,42,15,57,8235.0,8350.0,16585.0,47840.0,0.0011914715719063,LOW,normal
2025-12,Adilabad,42,15,57,8235.0,8350.0,16585.0,76960.0,0.0007406444906444,LOW,normal
2025-12,Adilabad,109,38,147,8235.0,8350.0,16585.0,47840.0,0.0030727424749163,LOW,normal
2025-12,Adilabad,109,38,147,8235.0,8350.0,16585.0,76960.0,0.0019100831600831,LOW,normal
2025-01,Agar Malwa,38,13,51,,,,16640.0,0.0030649038461538,LOW,scheme
2025-02,Agar Malwa,128,45,173,,,,16640.0,0.0103966346153846,LOW,normal
2025-03,Agar Malwa,39,14,53,619.0,1070.0,1689.0,16640.0,0.0031850961538461,LOW,exam
2025-04,Agar Malwa,32,11,43,1006.0,1142.0,2148.0,16640.0,0.0025841346153846,LOW,exam
2025-05,Agar Malwa,60,21,81,841.0,1203.0,2044.0,16640.0,0.0048677884615384,LOW,normal
2025-06,Agar Malwa,58,20,78,966.0,1522.0,2488.0,16640.0,0.0046875,LOW,normal
2025-07,Agar Malwa,35,12,47,858.0,1763.0,2621.0,16640.0,0.0028245192307692,LOW,normal
2025-08,Agar Malwa,90,31,121,,,,16640.0,0.0072716346153846,LOW,normal
2025-09,Agar Malwa,106,37,143,355.0,1069.0,1424.0,16640.0,0.00859375,LOW,normal
2025-10,Agar Malwa,107,37,144,185.0,399.0,584.0,16640.0,0.0086538461538461,LOW,festival
2025-11,Agar Malwa,68,24,92,339.0,1032.0,1371.0,16640.0,0.0055288461538461,LOW,festival
2025-12,Agar Malwa,64,22,86,552.0,1892.0,2444.0,16640.0,0.0051682692307692,LOW,normal
2025-01,Agra,12784,4474,17258,,,,293280.0,0.0588447899618112,LOW,scheme
2025-02,Agra,711,249,960,,,,293280.0,0.0032733224222585,LOW,normal
2025-03,Agra,342,120,462,15175.0,9350.0,24525.0,293280.0,0.0015752864157119,LOW,exam
2025-04,Agra,307,107,414,23587.0,9962.0,33549.0,293280.0,0.001411620294599,LOW,exam
2025-05,Agra,397,139,536,19333.0,9245.0,28578.0,293280.0,0.0018276050190943,LOW,normal
2025-06,Agra,441,154,595,12660.0,8413.0,21073.0,293280.0,0.002028777959629,LOW,normal
2025-07,Agra,251,88,339,25297.0,14465.0,39762.0,293280.0,0.00115589198036,LOW,normal
2025-08,Agra,507,177,684,,,,293280.0,0.0023322422258592,LOW,normal
2025-09,Agra,533,187,720,16171.0,6333.0,22504.0,293280.0,0.0024549918166939,LOW,normal
2025-10,Agra,704,246,950,8108.0,4302.0,12410.0,293280.0,0.0032392253136933,LOW,festival
2025-11,Agra,450,158,608,16983.0,9897.0,26880.0,293280.0,0.0020731042007637,LOW,festival
2025-12,Agra,522,183,705,14994.0,10773.0,25767.0,293280.0,0.0024038461538461,LOW,normal
2025-01,Ahmadabad,5733,2007,7740,,,,12480.0,0.6201923076923077,HIGH,scheme
2025-02,Ahmadabad,35,12,47,,,,12480.0,0.0037660256410256,LOW,normal
2025-03,Ahmadabad,21,7,28,41.0,733.0,774.0,12480.0,0.0022435897435897,LOW,exam
2025-04,Ahmadabad,18,6,24,96.0,1164.0,1260.0,12480.0,0.0019230769230769,LOW,exam
2025-05,Ahmadabad,17,6,23,191.0,2644.0,2835.0,12480.0,0.0018429487179487,LOW,normal
2025-06,Ahmadabad,23,8,31,114.0,1596.0,1710.0,12480.0,0.0024839743589743,LOW,normal
2025-07,Ahmadabad,9,3,12,67.0,1008.0,1075.0,12480.0,0.0009615384615384,LOW,normal
2025-08,Ahmadabad,49,17,66,,,,12480.0,0.0052884615384615,LOW,normal
2025-09,Ahmadabad,33,12,45,148.0,2142.0,2290.0,12480.0,0.0036057692307692,LOW,normal
2025-10,Ahmadabad,33,12,45,42.0,640.0,682.0,12480.0,0.0036057692307692,LOW,festival
2025-11,Ahmadabad,34,12,46,109.0,2097.0,2206.0,12480.0,0.0036858974358974,LOW,festival
2025-12,Ahmadabad,37,13,50,150.0,2700.0,2850.0,12480.0,0.0040064102564102,LOW,normal
2025-01,Ahmadnagar,293,103,396,,,,378560.0,0.0010460693153,LOW,scheme
2025-02,Ahmadnagar,509,178,687,,,,378560.0,0.0018147717666948,LOW,normal
2025-03,Ahmadnagar,277,97,374,8342.0,22641.0,30983.0,378560.0,0.0009879543533389,LOW,exam
2025-04,Ahmadnagar,206,72,278,9904.0,19453.0,29357.0,378560.0,0.000734361792054,LOW,exam
2025-05,Ahmadnagar,147,51,198,10752.0,21200.0,31952.0,378560.0,0.00052303465765,LOW,normal
2025-06,Ahmadnagar,160,56,216,11466.0,23279.0,34745.0,378560.0,0.0005705832628909,LOW,normal
2025-07,Ahmadnagar,121,42,163,15684.0,27686.0,43370.0,378560.0,0.0004305790363482,LOW,normal
2025-08,Ahmadnagar,342,120,462,,,,378560.0,0.0012204142011834,LOW,normal
2025-09,Ahmadnagar,414,145,559,51052.0,13085.0,64137.0,378560.0,0.0014766483516483,LOW,normal
2025-10,Ahmadnagar,313,110,423,12815.0,17627.0,30442.0,378560.0,0.0011173922231614,LOW,festival
2025-11,Ahmadnagar,304,106,410,20972.0,28879.0,49851.0,378560.0,0.0010830515638207,LOW,festival
2025-12,Ahmadnagar,274,96,370,23258.0,25466.0,48724.0,378560.0,0.0009773879966187,LOW,normal
2025-01,Ahmed Nagar,5,2,7,,,,8320.0,0.0008413461538461,LOW,scheme
2025-02,Ahmed Nagar,15,5,20,,,,8320.0,0.0024038461538461,LOW,normal
2025-03,Ahmed Nagar,14,5,19,15.0,170.0,185.0,8320.0,0.0022836538461538,LOW,exam
2025-04,Ahmed Nagar,3,1,4,12.0,145.0,157.0,8320.0,0.0004807692307692,LOW,exam
2025-05,Ahmed Nagar,8,3,11,30.0,159.0,189.0,8320.0,0.0013221153846153,LOW,normal
2025-06,Ahmed Nagar,6,2,8,61.0,293.0,354.0,8320.0,0.0009615384615384,LOW,normal
2025-07,Ahmed Nagar,5,2,7,67.0,444.0,511.0,8320.0,0.0008413461538461,LOW,normal
2025-08,Ahmed Nagar,7,2,9,,,,8320.0,0.0010817307692307,LOW,normal
2025-09,Ahmed Nagar,8,3,11,930.0,440.0,1370.0,8320.0,0.0013221153846153,LOW,normal
2025-10,Ahmed Nagar,5,2,7,134.0,607.0,741.0,8320.0,0.0008413461538461,LOW,festival
2025-11,Ahmed Nagar,5,2,7,177.0,1012.0,1189.0,8320.0,0.0008413461538461,LOW,festival
2025-12,Ahmed Nagar,7,2,9,176.0,967.0,1143.0,8320.0,0.0010817307692307,LOW,normal
2025-01,Ahmedabad,2558,895,3453,,,,445120.0,0.0077574586628324,LOW,scheme
2025-02,Ahmedabad,720,252,972,,,,445120.0,0.0021836808051761,LOW,normal
2025-03,Ahmedabad,430,150,580,19111.0,29284.0,48395.0,445120.0,0.001303019410496,LOW,exam
2025-04,Ahmedabad,292,102,394,18247.0,27634.0,45881.0,445120.0,0.0008851545650611,LOW,exam
2025-05,Ahmedabad,277,97,374,26986.0,37810.0,64796.0,445120.0,0.0008402228612508,LOW,normal
2025-06,Ahmedabad,362,127,489,22390.0,35067.0,57457.0,445120.0,0.0010985801581595,LOW,normal
2025-07,Ahmedabad,171,60,231,25468.0,40237.0,65705.0,445120.0,0.0005189611790079,LOW,normal
2025-08,Ahmedabad,660,231,891,,,,445120.0,0.0020017074047447,LOW,normal
2025-09,Ahmedabad,613,215,828,13314.0,20099.0,33413.0,445120.0,0.0018601725377426,LOW,normal
2025-10,Ahmedabad,568,199,767,3998.0,6087.0,10085.0,445120.0,0.0017231308411214,LOW,festival
2025-11,Ahmedabad,586,205,791,14289.0,19637.0,33926.0,445120.0,0.0017770488856937,LOW,festival
2025-12,Ahmedabad,583,204,787,22088.0,23744.0,45832.0,445120.0,0.0017680625449317,LOW,normal
2025-01,Ahmednagar,368,129,497,,,,,,HIGH,scheme
2025-01,Aizawl,20,7,27,,,,20800.0,0.0012980769230769,LOW,scheme
2025-02,Aizawl,44,15,59,,,,20800.0,0.0028365384615384,LOW,normal
2025-03,Aizawl,24,8,32,12080.0,3703.0,15783.0,20800.0,0.0015384615384615,LOW,exam
2025-04,Aizawl,17,6,23,4073.0,1701.0,5774.0,20800.0,0.0011057692307692,LOW,exam
2025-05,Aizawl,32,11,43,1038.0,887.0,1925.0,20800.0,0.0020673076923076,LOW,normal
2025-06,Aizawl,22,8,30,1331.0,1137.0,2468.0,20800.0,0.0014423076923076,LOW,normal
2025-07,Aizawl,9,3,12,1355.0,1189.0,2544.0,20800.0,0.000576923076923,LOW,normal
2025-08,Aizawl,26,9,35,,,,20800.0,0.0016826923076923,LOW,normal
2025-09,Aizawl,47,16,63,2050.0,786.0,2836.0,20800.0,0.0030288461538461,LOW,normal
2025-10,Aizawl,38,13,51,2042.0,671.0,2713.0,20800.0,0.002451923076923,LOW,festival
2025-11,Aizawl,16,6,22,1054.0,499.0,1553.0,20800.0,0.0010576923076923,LOW,festival
2025-12,Aizawl,32,11,43,1610.0,471.0,2081.0,20800.0,0.0020673076923076,LOW,normal
2025-01,Ajmer,2325,814,3139,,,,205920.0,0.0152437839937839,LOW,scheme
2025-02,Ajmer,387,135,522,,,,205920.0,0.002534965034965,LOW,normal
2025-03,Ajmer,236,83,319,6104.0,7466.0,13570.0,205920.0,0.0015491452991452,LOW,exam
2025-04,Ajmer,129,45,174,5509.0,7665.0,13174.0,205920.0,0.0008449883449883,LOW,exam
2025-05,Ajmer,231,81,312,4645.0,6589.0,11234.0,205920.0,0.0015151515151515,LOW,normal
2025-06,Ajmer,230,80,310,7019.0,7443.0,14462.0,205920.0,0.001505439005439,LOW,normal
2025-07,Ajmer,152,53,205,12566.0,9786.0,22352.0,205920.0,0.0009955322455322,LOW,normal
2025-08,Ajmer,303,106,409,,,,205920.0,0.0019862082362082,LOW,normal
2025-09,Ajmer,356,125,481,20770.0,5311.0,26081.0,205920.0,0.0023358585858585,LOW,normal
2025-10,Ajmer,469,164,633,3849.0,3442.0,7291.0,205920.0,0.0030740093240093,LOW,festival
2025-11,Ajmer,305,107,412,7020.0,7673.0,14693.0,205920.0,0.002000777000777,LOW,festival
2025-12,Ajmer,392,137,529,10788.0,8213.0,19001.0,205920.0,0.0025689588189588,LOW,normal
2025-01,Akola,695,243,938,,,,104000.0,0.0090192307692307,LOW,scheme
2025-02,Akola,220,77,297,,,,104000.0,0.0028557692307692,LOW,normal
2025-03,Akola,101,35,136,5799.0,19830.0,25629.0,104000.0,0.0013076923076923,LOW,exam
2025-04,Akola,73,26,99,3998.0,13294.0,17292.0,104000.0,0.000951923076923,LOW,exam
2025-05,Akola,59,21,80,4847.0,14365.0,19212.0,104000.0,0.0007692307692307,LOW,normal
2025-06,Akola,36,13,49,5342.0,13278.0,18620.0,104000.0,0.0004711538461538,LOW,normal
2025-07,Akola,56,20,76,7359.0,16443.0,23802.0,104000.0,0.0007307692307692,LOW,normal
2025-08,Akola,156,55,211,,,,104000.0,0.0020288461538461,LOW,normal
2025-09,Akola,128,45,173,11958.0,8358.0,20316.0,104000.0,0.0016634615384615,LOW,normal
2025-10,Akola,129,45,174,3318.0,12701.0,16019.0,104000.0,0.0016730769230769,LOW,festival
2025-11,Akola,127,44,171,5024.0,21531.0,26555.0,104000.0,0.0016442307692307,LOW,festival
2025-12,Akola,126,44,170,6341.0,11299.0,17640.0,104000.0,0.0016346153846153,LOW,normal
2025-01,Alappuzha,50,18,68,,,,60320.0,0.0011273209549071,LOW,scheme
2025-02,Alappuzha,168,59,227,,,,60320.0,0.0037632625994694,LOW,normal
2025-03,Alappuzha,68,24,92,3226.0,6251.0,9477.0,60320.0,0.001525198938992,LOW,exam
2025-04,Alappuzha,5,2,7,3782.0,5753.0,9535.0,60320.0,0.000116047745358,LOW,exam
2025-05,Alappuzha,85,30,115,6743.0,6924.0,13667.0,60320.0,0.00190649867374,LOW,normal
2025-06,Alappuzha,36,13,49,4896.0,7908.0,12804.0,60320.0,0.0008123342175066,LOW,normal
2025-07,Alappuzha,31,11,42,3971.0,8855.0,12826.0,60320.0,0.0006962864721485,LOW,normal
2025-08,Alappuzha,105,37,142,,,,60320.0,0.0023541114058355,LOW,normal
2025-09,Alappuzha,118,41,159,2381.0,3858.0,6239.0,60320.0,0.0026359416445623,LOW,normal
2025-10,Alappuzha,124,43,167,1791.0,3404.0,5195.0,60320.0,0.0027685676392572,LOW,festival
2025-11,Alappuzha,119,42,161,2475.0,4652.0,7127.0,60320.0,0.002669098143236,LOW,festival
2025-12,Alappuzha,82,29,111,5338.0,5421.0,10759.0,60320.0,0.0018401856763925,LOW,normal
2025-01,Aligarh,13884,4859,18743,,,,309920.0,0.06047689726381,LOW,scheme
2025-02,Aligarh,542,190,732,,,,309920.0,0.0023618998451213,LOW,normal
2025-03,Aligarh,284,99,383,17052.0,5512.0,22564.0,309920.0,0.0012358027878162,LOW,exam
2025-04,Aligarh,228,80,308,21555.0,5911.0,27466.0,309920.0,0.0009938048528652,LOW,exam
2025-05,Aligarh,299,105,404,19473.0,5828.0,25301.0,309920.0,0.0013035622096024,LOW,normal
2025-06,Aligarh,406,142,548,13950.0,6185.0,20135.0,309920.0,0.0017681982447083,LOW,normal
2025-07,Aligarh,172,60,232,20477.0,9025.0,29502.0,309920.0,0.0007485802787816,LOW,normal
2025-08,Aligarh,312,109,421,,,,309920.0,0.001358415074858,LOW,normal
2025-09,Aligarh,517,181,698,14509.0,4582.0,19091.0,309920.0,0.0022521941146102,LOW,normal
2025-10,Aligarh,474,166,640,7209.0,3529.0,10738.0,309920.0,0.0020650490449148,LOW,festival
2025-11,Aligarh,261,91,352,15128.0,6911.0,22039.0,309920.0,0.0011357769747031,LOW,festival
2025-12,Aligarh,409,143,552,14807.0,7857.0,22664.0,309920.0,0.001781104801239,LOW,normal
2025-01,Alipurduar,2608,913,3521,,,,18720.0,0.1880876068376068,MEDIUM,scheme
2025-02,Alipurduar,40,14,54,,,,18720.0,0.0028846153846153,LOW,normal
2025-03,Alipurduar,28,10,38,390.0,584.0,974.0,18720.0,0.0020299145299145,LOW,exam
2025-04,Alipurduar,14,5,19,372.0,419.0,791.0,18720.0,0.0010149572649572,LOW,exam
2025-05,Alipurduar,23,8,31,454.0,490.0,944.0,18720.0,0.0016559829059829,LOW,normal
2025-06,Alipurduar,30,10,40,459.0,533.0,992.0,18720.0,0.0021367521367521,LOW,normal
2025-07,Alipurduar,14,5,19,542.0,699.0,1241.0,18720.0,0.0010149572649572,LOW,normal
2025-08,Alipurduar,34,12,46,,,,18720.0,0.0024572649572649,LOW,normal
2025-09,Alipurduar,51,18,69,381.0,322.0,703.0,18720.0,0.0036858974358974,LOW,normal
2025-10,Alipurduar,46,16,62,230.0,203.0,433.0,18720.0,0.0033119658119658,LOW,festival
2025-11,Alipurduar,27,9,36,288.0,303.0,591.0,18720.0,0.0019230769230769,LOW,festival
2025-12,Alipurduar,41,14,55,619.0,337.0,956.0,18720.0,0.0029380341880341,LOW,normal
2025-01,Alirajpur,2973,1041,4014,,,,35360.0,0.1135180995475113,MEDIUM,scheme
2025-02,Alirajpur,247,86,333,,,,35360.0,0.0094174208144796,LOW,normal
2025-03,Alirajpur,85,30,115,1527.0,3407.0,4934.0,35360.0,0.0032522624434389,LOW,exam
2025-04,Alirajpur,76,27,103,4642.0,4219.0,8861.0,35360.0,0.0029128959276018,LOW,exam
2025-05,Alirajpur,72,25,97,6203.0,4179.0,10382.0,35360.0,0.0027432126696832,LOW,normal
2025-06,Alirajpur,70,24,94,5386.0,3124.0,8510.0,35360.0,0.0026583710407239,LOW,normal
2025-07,Alirajpur,42,15,57,7177.0,4195.0,11372.0,35360.0,0.0016119909502262,LOW,normal
2025-08,Alirajpur,111,39,150,,,,35360.0,0.0042420814479638,LOW,normal
2025-09,Alirajpur,122,43,165,3421.0,3124.0,6545.0,35360.0,0.0046662895927601,LOW,normal
2025-10,Alirajpur,122,43,165,970.0,1114.0,2084.0,35360.0,0.0046662895927601,LOW,festival
2025-11,Alirajpur,103,36,139,1600.0,2007.0,3607.0,35360.0,0.0039309954751131,LOW,festival
2025-12,Alirajpur,110,38,148,2564.0,3274.0,5838.0,35360.0,0.0041855203619909,LOW,normal
2025-01,Allahabad,328,115,443,,,,309920.0,0.0014294011357769,LOW,scheme
2025-02,Allahabad,608,213,821,,,,309920.0,0.0026490707279297,LOW,normal
2025-03,Allahabad,401,140,541,16248.0,7838.0,24086.0,309920.0,0.0017456117707795,LOW,exam
2025-04,Allahabad,250,88,338,27810.0,9107.0,36917.0,309920.0,0.0010906040268456,LOW,exam
2025-05,Allahabad,427,149,576,25207.0,8293.0,33500.0,309920.0,0.0018585441404233,LOW,normal
2025-06,Allahabad,356,125,481,20845.0,8482.0,29327.0,309920.0,0.0015520134228187,LOW,normal
2025-07,Allahabad,215,75,290,28098.0,12988.0,41086.0,309920.0,0.000935725348477,LOW,normal
2025-08,Allahabad,373,131,504,,,,309920.0,0.0016262261228704,LOW,normal
2025-09,Allahabad,477,167,644,20237.0,7585.0,27822.0,309920.0,0.0020779556014455,LOW,normal
2025-10,Allahabad,565,198,763,9183.0,5391.0,14574.0,309920.0,0.0024619256582343,LOW,festival
2025-11,Allahabad,344,120,464,16926.0,10629.0,27555.0,309920.0,0.0014971605575632,LOW,festival
2025-12,Allahabad,436,153,589,13273.0,10770.0,24043.0,309920.0,0.0019004904491481,LOW,normal
2025-01,Alluri Sitharama Raju,15,5,20,,,,20800.0,0.0009615384615384,LOW,scheme
2025-02,Alluri Sitharama Raju,32,11,43,,,,20800.0,0.0020673076923076,LOW,normal
2025-03,Alluri Sitharama Raju,30,10,40,585.0,1408.0,1993.0,20800.0,0.0019230769230769,LOW,exam
2025-04,Alluri Sitharama Raju,11,4,15,877.0,1092.0,1969.0,20800.0,0.0007211538461538,LOW,exam
2025-05,Alluri Sitharama Raju,47,16,63,1125.0,964.0,2089.0,20800.0,0.0030288461538461,LOW,normal
2025-06,Alluri Sitharama Raju,28,10,38,1717.0,1219.0,2936.0,20800.0,0.001826923076923,LOW,normal
2025-07,Alluri Sitharama Raju,29,10,39,718.0,1130.0,1848.0,20800.0,0.001875,LOW,normal
2025-08,Alluri Sitharama Raju,32,11,43,,,,20800.0,0.0020673076923076,LOW,normal
2025-09,Alluri Sitharama Raju,26,9,35,700.0,711.0,1411.0,20800.0,0.0016826923076923,LOW,normal
2025-10,Alluri Sitharama Raju,37,13,50,749.0,1270.0,2019.0,20800.0,0.0024038461538461,LOW,festival
2025-11,Alluri Sitharama Raju,34,12,46,1099.0,1013.0,2112.0,20800.0,0.0022115384615384,LOW,festival
2025-12,Alluri Sitharama Raju,37,13,50,868.0,1362.0,2230.0,20800.0,0.0024038461538461,LOW,normal
2025-01,Almora,13,5,18,,,,27040.0,0.0006656804733727,LOW,scheme
2025-02,Almora,40,14,54,,,,27040.0,0.0019970414201183,LOW,normal
2025-03,Almora,34,12,46,1410.0,1627.0,3037.0,27040.0,0.0017011834319526,LOW,exam
2025-04,Almora,20,7,27,1878.0,1873.0,3751.0,27040.0,0.0009985207100591,LOW,exam
2025-05,Almora,22,8,30,1134.0,1546.0,2680.0,27040.0,0.0011094674556213,LOW,normal
2025-06,Almora,41,14,55,1466.0,1627.0,3093.0,27040.0,0.002034023668639,LOW,normal
2025-07,Almora,17,6,23,1401.0,1988.0,3389.0,27040.0,0.0008505917159763,LOW,normal
2025-08,Almora,53,19,72,,,,27040.0,0.0026627218934911,LOW,normal
2025-09,Almora,54,19,73,1608.0,1280.0,2888.0,27040.0,0.0026997041420118,LOW,normal
2025-10,Almora,57,20,77,922.0,740.0,1662.0,27040.0,0.0028476331360946,LOW,festival
2025-11,Almora,33,12,45,2177.0,1594.0,3771.0,27040.0,0.0016642011834319,LOW,festival
2025-12,Almora,25,9,34,4857.0,3281.0,8138.0,27040.0,0.0012573964497041,LOW,normal
2025-01,Alwar,5885,2060,7945,,,,241280.0,0.032928547745358,LOW,scheme
2025-02,Alwar,613,215,828,,,,241280.0,0.003431697612732,LOW,normal
2025-03,Alwar,490,172,662,10532.0,13227.0,23759.0,241280.0,0.0027437002652519,LOW,exam
2025-04,Alwar,416,146,562,8463.0,11534.0,19997.0,241280.0,0.0023292440318302,LOW,exam
2025-05,Alwar,507,177,684,7561.0,10382.0,17943.0,241280.0,0.0028348806366047,LOW,normal
2025-06,Alwar,567,198,765,10031.0,12126.0,22157.0,241280.0,0.0031705901856763,LOW,normal
2025-07,Alwar,240,84,324,20798.0,16711.0,37509.0,241280.0,0.0013428381962864,LOW,normal
2025-08,Alwar,669,234,903,,,,241280.0,0.0037425397877984,LOW,normal
2025-09,Alwar,576,202,778,33179.0,7929.0,41108.0,241280.0,0.0032244694960212,LOW,normal
2025-10,Alwar,703,246,949,5503.0,5154.0,10657.0,241280.0,0.0039331896551724,LOW,festival
2025-11,Alwar,458,160,618,10869.0,9191.0,20060.0,241280.0,0.0025613395225464,LOW,festival
2025-12,Alwar,533,187,720,18024.0,12235.0,30259.0,241280.0,0.0029840848806366,LOW,normal
2025-01,Ambala,313,110,423,,,,56160.0,0.0075320512820512,LOW,scheme
2025-02,Ambala,91,32,123,,,,56160.0,0.0021901709401709,LOW,normal
2025-03,Ambala,35,12,47,2853.0,6773.0,9626.0,56160.0,0.0008368945868945,LOW,exam
2025-04,Ambala,13,5,18,4249.0,6898.0,11147.0,56160.0,0.0003205128205128,LOW,exam
2025-05,Ambala,74,26,100,2595.0,5584.0,8179.0,56160.0,0.0017806267806267,LOW,normal
2025-06,Ambala,52,18,70,2526.0,4960.0,7486.0,56160.0,0.0012464387464387,LOW,normal
2025-07,Ambala,35,12,47,5016.0,7173.0,12189.0,56160.0,0.0008368945868945,LOW,normal
2025-08,Ambala,95,33,128,,,,56160.0,0.0022792022792022,LOW,normal
2025-09,Ambala,98,34,132,2342.0,3016.0,5358.0,56160.0,0.0023504273504273,LOW,normal
2025-10,Ambala,93,33,126,1404.0,2294.0,3698.0,56160.0,0.0022435897435897,LOW,festival
2025-11,Ambala,80,28,108,2554.0,4541.0,7095.0,56160.0,0.0019230769230769,LOW,festival
2025-12,Ambala,76,27,103,3052.0,4926.0,7978.0,56160.0,0.0018340455840455,LOW,normal
2025-01,Ambedkar Nagar,553,194,747,,,,126880.0,0.0058874527112232,LOW,scheme
2025-02,Ambedkar Nagar,328,115,443,,,,126880.0,0.0034914880201765,LOW,normal
2025-03,Ambedkar Nagar,259,91,350,4518.0,4307.0,8825.0,126880.0,0.0027585119798234,LOW,exam
